scenario,lsa,detector_id_sumo,detector_id_real,begin_s,end_s,nVehEntered,nVehContrib,flow,occupancy,speed,harmonicMeanSpeed
weekend_morning,LSA16,LSA16_E_id10,10,900.0,1800.0,42.0,42.0,168.0,9.29,10.43,3.91
weekend_morning,LSA16,LSA16_E_id11,11,900.0,1800.0,30.0,30.0,120.0,5.06,9.17,4.18
weekend_morning,LSA16,LSA16_E_id14,14,900.0,1800.0,31.0,31.0,124.0,1.3,13.02,12.88
weekend_morning,LSA16,LSA16_Eout_id13,13,900.0,1800.0,79.0,79.0,316.0,6.42,12.0,6.63
weekend_morning,LSA16,LSA16_N_id6,6,900.0,1800.0,11.0,11.0,44.0,0.46,12.92,12.58
weekend_morning,LSA16,LSA16_N_id7,7,900.0,1800.0,17.0,17.0,68.0,0.7,12.92,12.89
weekend_morning,LSA16,LSA16_S_id1,1,900.0,1800.0,38.0,38.0,152.0,15.54,8.23,1.35
weekend_morning,LSA16,LSA16_S_id2,2,900.0,1800.0,34.0,34.0,136.0,1.42,13.05,12.93
weekend_morning,LSA16,LSA16_S_id33,33,900.0,1800.0,15.0,15.0,60.0,0.82,12.38,11.82
weekend_morning,LSA16,LSA16_W_id3,3,900.0,1800.0,42.0,41.0,164.0,50.18,6.29,0.46
weekend_morning,LSA16,LSA16_W_id4,4,900.0,1800.0,14.0,14.0,56.0,21.66,7.34,0.34
weekend_morning,LSA16,LSA16_W_id5,5,900.0,1800.0,43.0,43.0,172.0,7.45,9.53,3.59
weekend_morning,LSA16,LSA16_Wout_id15,15,900.0,1800.0,46.0,46.0,184.0,1.89,13.39,13.32
weekend_morning,LSA1,LSA1_E_id13,13,900.0,1800.0,30.0,29.0,116.0,35.71,6.64,0.41
weekend_morning,LSA1,LSA1_E_id14,14,900.0,1800.0,84.0,80.0,320.0,8.63,11.19,5.63
weekend_morning,LSA1,LSA1_E_id23,23,900.0,1800.0,36.0,35.0,140.0,30.14,6.16,0.63
weekend_morning,LSA1,LSA1_E_id24,24,900.0,1800.0,37.0,37.0,148.0,7.01,8.92,3.15
weekend_morning,LSA1,LSA1_E_id25,25,900.0,1800.0,19.0,18.0,72.0,63.17,2.29,0.17
weekend_morning,LSA1,LSA1_E_id26,26,900.0,1800.0,22.0,21.0,84.0,17.78,7.08,0.66
weekend_morning,LSA1,LSA1_E_id27,27,900.0,1800.0,53.0,53.0,212.0,6.16,9.64,4.44
weekend_morning,LSA1,LSA1_N_id28,28,900.0,1800.0,7.0,7.0,28.0,3.36,7.44,1.04
weekend_morning,LSA1,LSA1_N_id30,30,900.0,1800.0,52.0,52.0,208.0,52.08,6.93,0.52
weekend_morning,LSA1,LSA1_N_id39,39,900.0,1800.0,51.0,51.0,204.0,7.0,10.8,3.76
weekend_morning,LSA1,LSA1_N_id40,40,900.0,1800.0,37.0,37.0,148.0,25.78,7.08,0.74
weekend_morning,LSA1,LSA1_S_id11,11,900.0,1800.0,0.0,0.0,0.0,0.0,-1.0,-1.0
weekend_morning,LSA1,LSA1_S_id12,12,900.0,1800.0,0.0,0.0,0.0,0.0,-1.0,-1.0
weekend_morning,LSA1,LSA1_W_id10,10,900.0,1800.0,82.0,82.0,328.0,28.83,8.13,1.52
weekend_morning,LSA1,LSA1_W_id7,7,900.0,1800.0,24.0,24.0,96.0,95.87,3.15,0.13
weekend_morning,LSA1,LSA1_W_id8,8,900.0,1800.0,24.0,24.0,96.0,87.19,2.76,0.15
weekend_morning,LSA1,LSA1_W_id9,9,900.0,1800.0,83.0,83.0,332.0,51.63,8.37,0.8
weekend_morning,LSA9,LSA9_E_id8,8,900.0,1800.0,72.0,72.0,288.0,6.83,11.86,5.16
weekend_morning,LSA9,LSA9_E_id9,9,900.0,1800.0,24.0,24.0,96.0,1.0,12.85,12.56
weekend_morning,LSA9,LSA9_S_id10,10,900.0,1800.0,0.0,0.0,0.0,0.0,-1.0,-1.0
weekend_morning,LSA9,LSA9_WE_id4,4,900.0,1800.0,7.0,6.0,24.0,16.25,2.44,0.22
weekend_morning,LSA9,LSA9_WE_id5,5,900.0,1800.0,11.0,10.0,40.0,18.55,5.42,0.4
weekend_morning,LSA9,LSA9_WE_id6,6,900.0,1800.0,7.0,6.0,24.0,0.38,11.03,10.92
weekend_morning,LSA9,LSA9_WE_id7,7,900.0,1800.0,13.0,13.0,52.0,0.9,9.65,8.04
weekend_morning,LSA9,LSA9_W_id1,1,900.0,1800.0,58.0,58.0,232.0,14.77,9.05,2.02
weekend_morning,LSA9,LSA9_W_id2,2,900.0,1800.0,61.0,59.0,236.0,45.39,6.89,0.74
weekend_morning,LSA10,LSA10_E_id3,3,1800.0,2700.0,51.0,51.0,204.0,6.8,10.33,4.46
weekend_morning,LSA10,LSA10_E_id4,4,1800.0,2700.0,36.0,34.0,136.0,6.94,11.02,2.55
weekend_morning,LSA10,LSA10_NE_id29,29,1800.0,2700.0,10.0,10.0,40.0,2.56,5.06,1.98
weekend_morning,LSA10,LSA10_NW_id2,2,1800.0,2700.0,20.0,20.0,80.0,5.22,11.89,1.96
weekend_morning,LSA10,LSA10_NW_id26,26,1800.0,2700.0,6.0,6.0,24.0,6.7,5.74,0.45
weekend_morning,LSA10,LSA10_NW_id27,27,1800.0,2700.0,14.0,14.0,56.0,19.58,5.11,0.58
weekend_morning,LSA10,LSA10_S_id31,31,1800.0,2700.0,12.0,12.0,48.0,9.17,4.27,1.26
weekend_morning,LSA10,LSA10_W_id1,1,1800.0,2700.0,69.0,68.0,272.0,7.67,11.05,5.25
weekend_morning,LSA16,LSA16_E_id10,10,1800.0,2700.0,42.0,42.0,168.0,5.75,10.14,4.39
weekend_morning,LSA16,LSA16_E_id11,11,1800.0,2700.0,29.0,29.0,116.0,7.32,9.29,2.46
weekend_morning,LSA16,LSA16_E_id14,14,1800.0,2700.0,29.0,29.0,116.0,1.25,12.85,12.8
weekend_morning,LSA16,LSA16_Eout_id13,13,1800.0,2700.0,69.0,69.0,276.0,3.0,12.92,12.73
weekend_morning,LSA16,LSA16_N_id6,6,1800.0,2700.0,13.0,13.0,52.0,0.59,11.94,11.44
weekend_morning,LSA16,LSA16_N_id7,7,1800.0,2700.0,16.0,16.0,64.0,0.68,13.31,13.29
weekend_morning,LSA16,LSA16_S_id1,1,1800.0,2700.0,32.0,32.0,128.0,13.86,9.64,1.17
weekend_morning,LSA16,LSA16_S_id2,2,1800.0,2700.0,22.0,22.0,88.0,0.95,13.22,13.09
weekend_morning,LSA16,LSA16_S_id33,33,1800.0,2700.0,14.0,14.0,56.0,0.61,13.0,12.73
weekend_morning,LSA16,LSA16_W_id3,3,1800.0,2700.0,36.0,37.0,148.0,50.2,6.95,0.37
weekend_morning,LSA16,LSA16_W_id4,4,1800.0,2700.0,9.0,9.0,36.0,14.29,5.39,0.42
weekend_morning,LSA16,LSA16_W_id5,5,1800.0,2700.0,35.0,35.0,140.0,2.26,11.81,8.8
weekend_morning,LSA16,LSA16_Wout_id15,15,1800.0,2700.0,38.0,38.0,152.0,1.54,13.44,13.38
weekend_morning,LSA1,LSA1_E_id13,13,1800.0,2700.0,34.0,34.0,136.0,30.05,6.87,0.62
weekend_morning,LSA1,LSA1_E_id14,14,1800.0,2700.0,98.0,94.0,376.0,10.23,10.66,4.98
weekend_morning,LSA1,LSA1_E_id23,23,1800.0,2700.0,34.0,34.0,136.0,31.45,7.02,0.57
weekend_morning,LSA1,LSA1_E_id24,24,1800.0,2700.0,32.0,31.0,124.0,5.39,10.29,3.47
weekend_morning,LSA1,LSA1_E_id25,25,1800.0,2700.0,14.0,14.0,56.0,64.72,1.87,0.12
weekend_morning,LSA1,LSA1_E_id26,26,1800.0,2700.0,11.0,12.0,48.0,18.77,5.73,0.43
weekend_morning,LSA1,LSA1_E_id27,27,1800.0,2700.0,58.0,58.0,232.0,8.32,9.49,3.59
weekend_morning,LSA1,LSA1_N_id28,28,1800.0,2700.0,10.0,10.0,40.0,19.63,4.22,0.26
