date,16:00:00,16:15:00,16:30:00,16:45:00
2026-03-07,2271,2383,2164,2136
2026-03-08,2174,1909,2002,1940
2026-03-14,2148,2089,2255,2115
2026-03-21,1316,1141,1260,1016
2026-03-22,2004,2020,2036,1986
2026-03-28,2054,1966,2110,2025
2026-03-29,2126,1865,1863,1525
