date,08:00:00,08:15:00,08:30:00,08:45:00
2026-03-07,1336,1297,1580,1716
2026-03-08,887,871,1065,1464
2026-03-14,1670,1628,1860,1859
2026-03-21,913,955,960,1131
2026-03-22,828,692,904,1214
2026-03-28,1399,1388,1759,1576
2026-03-29,1142,1167,1609,1353
