scenario,cluster,representative_day,distance_to_centroid,n_days_in_cluster,total_window_count_rep_day
weekday_evening,0,2026-03-23,0.004897986015091066,17,10763.0
weekday_evening,1,2026-03-26,0.0,1,7139.0
