date,cluster,total_window_count
2026-03-05,0,7318
2026-03-06,0,8163
2026-03-09,0,9386
2026-03-10,0,9295
2026-03-11,0,9002
2026-03-12,0,9733
2026-03-13,0,9222
2026-03-16,0,8983
2026-03-17,0,9053
2026-03-18,0,9435
2026-03-19,1,6131
2026-03-20,0,5121
2026-03-23,0,9134
2026-03-24,0,9333
2026-03-25,0,4770
2026-03-26,0,9483
2026-03-27,0,8001
2026-03-30,0,9959
