scenario,cluster,representative_day,distance_to_centroid,n_days_in_cluster,total_window_count_rep_day
weekend_morning,0,2026-03-14,0.014909029662251726,5,7017.0
weekend_morning,1,2026-03-08,0.012815197614544896,2,4287.0
