date,cluster,total_window_count
2026-03-05,0,11231
2026-03-06,0,10291
2026-03-09,0,10710
2026-03-10,0,11144
2026-03-11,0,10030
2026-03-12,0,10992
2026-03-13,0,8674
2026-03-16,0,10723
2026-03-17,0,10636
2026-03-18,0,11038
2026-03-19,0,9164
2026-03-20,0,5541
2026-03-23,0,10763
2026-03-24,0,10708
2026-03-25,0,5303
2026-03-26,1,7139
2026-03-27,0,10405
2026-03-30,0,5123
