date,cluster,distance_to_centroid,total_window_count
2026-03-14,0,0.014909029662251726,7017.0
2026-03-28,0,0.019433857019180354,6122.0
2026-03-07,0,0.02201336658179187,5929.0
2026-03-21,0,0.03679064502863539,3959.0
2026-03-29,0,0.03725745630445882,5271.0
2026-03-08,1,0.012815197614544896,4287.0
2026-03-22,1,0.01281519761454492,3638.0
