lsa,source_period,file_name,date_str,read_ok,n_timeframes,empty_timeframes_list,n_timeframes_present,n_timeframes_with_detector_data,n_detector_records,first_timestamp,last_timestamp,expected_bins_per_day,coverage_ratio,day_status,max_continuous_bins_with_data,max_continuous_hours_with_data,model_usability
LD-LSA10,historical,2025-01-31.json,2025-01-31,True,57,False,53.0,53.0,2173.0,2025-01-31 10:45:00+01:00,2025-01-31 23:45:00+01:00,96,0.5520833333333334,partial_day,53.0,13.25,usable_partial
LD-LSA10,historical,2025-02-01.json,2025-02-01,True,96,False,96.0,96.0,3936.0,2025-02-01 00:00:00+01:00,2025-02-01 23:45:00+01:00,96,1.0,full_day,96.0,24.0,usable
LD-LSA10,historical,2025-02-02.json,2025-02-02,True,96,False,96.0,96.0,3936.0,2025-02-02 00:00:00+01:00,2025-02-02 23:45:00+01:00,96,1.0,full_day,96.0,24.0,usable
LD-LSA10,historical,2025-02-03.json,2025-02-03,True,96,False,96.0,96.0,3936.0,2025-02-03 00:00:00+01:00,2025-02-03 23:45:00+01:00,96,1.0,full_day,96.0,24.0,usable
LD-LSA10,historical,2025-02-04.json,2025-02-04,True,96,False,96.0,96.0,3936.0,2025-02-04 00:00:00+01:00,2025-02-04 23:45:00+01:00,96,1.0,full_day,96.0,24.0,usable
LD-LSA10,historical,2025-02-05.json,2025-02-05,True,96,False,96.0,96.0,3936.0,2025-02-05 00:00:00+01:00,2025-02-05 23:45:00+01:00,96,1.0,full_day,96.0,24.0,usable
LD-LSA10,historical,2025-02-06.json,2025-02-06,True,96,False,96.0,96.0,3936.0,2025-02-06 00:00:00+01:00,2025-02-06 23:45:00+01:00,96,1.0,full_day,96.0,24.0,usable
LD-LSA10,historical,2025-02-07.json,2025-02-07,True,96,False,96.0,96.0,3936.0,2025-02-07 00:00:00+01:00,2025-02-07 23:45:00+01:00,96,1.0,full_day,96.0,24.0,usable
LD-LSA10,historical,2025-02-08.json,2025-02-08,True,96,False,96.0,96.0,3936.0,2025-02-08 00:00:00+01:00,2025-02-08 23:45:00+01:00,96,1.0,full_day,96.0,24.0,usable
LD-LSA10,historical,2025-02-09.json,2025-02-09,True,96,False,96.0,96.0,3936.0,2025-02-09 00:00:00+01:00,2025-02-09 23:45:00+01:00,96,1.0,full_day,96.0,24.0,usable
