scenario,lsa,detector_id_sumo,detector_id_real,begin_s,end_s,nVehEntered,nVehContrib,flow,occupancy,speed,harmonicMeanSpeed
weekend_morning,LSA16,LSA16_E_id14,14,3600.0,4500.0,20.0,20.0,80.0,0.82,12.99,12.9
weekend_morning,LSA16,LSA16_Eout_id13,13,3600.0,4500.0,83.0,83.0,332.0,7.3,11.59,6.36
weekend_morning,LSA16,LSA16_N_id6,6,3600.0,4500.0,15.0,15.0,60.0,0.81,11.9,11.29
weekend_morning,LSA16,LSA16_N_id7,7,3600.0,4500.0,20.0,20.0,80.0,0.82,13.11,13.01
weekend_morning,LSA16,LSA16_S_id1,1,3600.0,4500.0,39.0,39.0,156.0,6.76,9.94,3.21
weekend_morning,LSA16,LSA16_S_id2,2,3600.0,4500.0,21.0,21.0,84.0,1.5,12.8,9.77
weekend_morning,LSA16,LSA16_S_id33,33,3600.0,4500.0,15.0,15.0,60.0,0.67,12.72,12.58
weekend_morning,LSA16,LSA16_W_id3,3,3600.0,4500.0,48.0,49.0,196.0,46.31,7.46,0.55
weekend_morning,LSA16,LSA16_W_id4,4,3600.0,4500.0,8.0,9.0,36.0,16.18,5.78,0.27
weekend_morning,LSA16,LSA16_W_id5,5,3600.0,4500.0,48.0,48.0,192.0,5.66,9.39,4.96
weekend_morning,LSA16,LSA16_Wout_id15,15,3600.0,4500.0,48.0,48.0,192.0,2.06,13.25,13.18
