scenario_name,scenario_date,interval_role,warmup_seconds,scenario_start_s,scenario_end_s,analysis_start_s,analysis_end_s,intersection,date,timestamp_utc,timestamp_local,time,begin_s,end_s,sim_begin_s,sim_end_s,bin_label_clock,bin_label_sim,detector_id,sumo_id,approach,edge_id,movement,count_type,from_edge,to_edge,count,occupancy,speed
weekend_morning,2026-03-14,analysis,900,27900,32400,28800,32400,LD-LSA1,2026-03-14,,2026-03-14 08:00:00+00:00,08:00:00,28800,29700,900,1800,08:00-08:15,900-1800,7,LSA1_W_id7,West,,,,,,39,56,0
weekend_morning,2026-03-14,analysis,900,27900,32400,28800,32400,LD-LSA1,2026-03-14,,2026-03-14 08:00:00+00:00,08:00:00,28800,29700,900,1800,08:00-08:15,900-1800,8,LSA1_W_id8,West,,,,,,76,19,0
weekend_morning,2026-03-14,analysis,900,27900,32400,28800,32400,LD-LSA1,2026-03-14,,2026-03-14 08:00:00+00:00,08:00:00,28800,29700,900,1800,08:00-08:15,900-1800,9,LSA1_W_id9,West,,,,,,89,39,0
weekend_morning,2026-03-14,analysis,900,27900,32400,28800,32400,LD-LSA1,2026-03-14,,2026-03-14 08:00:00+00:00,08:00:00,28800,29700,900,1800,08:00-08:15,900-1800,10,LSA1_W_id10,West,,,,,,99,17,0
weekend_morning,2026-03-14,analysis,900,27900,32400,28800,32400,LD-LSA1,2026-03-14,,2026-03-14 08:00:00+00:00,08:00:00,28800,29700,900,1800,08:00-08:15,900-1800,11,LSA1_S_id11,South,,,,,,0,0,0
weekend_morning,2026-03-14,analysis,900,27900,32400,28800,32400,LD-LSA1,2026-03-14,,2026-03-14 08:00:00+00:00,08:00:00,28800,29700,900,1800,08:00-08:15,900-1800,12,LSA1_S_id12,South,,,,,,0,0,0
weekend_morning,2026-03-14,analysis,900,27900,32400,28800,32400,LD-LSA1,2026-03-14,,2026-03-14 08:00:00+00:00,08:00:00,28800,29700,900,1800,08:00-08:15,900-1800,13,LSA1_E_id13,East,,,,,,37,40,0
weekend_morning,2026-03-14,analysis,900,27900,32400,28800,32400,LD-LSA1,2026-03-14,,2026-03-14 08:00:00+00:00,08:00:00,28800,29700,900,1800,08:00-08:15,900-1800,14,LSA1_E_id14,East,,,,,,84,14,0
weekend_morning,2026-03-14,analysis,900,27900,32400,28800,32400,LD-LSA1,2026-03-14,,2026-03-14 08:00:00+00:00,08:00:00,28800,29700,900,1800,08:00-08:15,900-1800,23,LSA1_E_id23,East,,,,,,32,31,0
weekend_morning,2026-03-14,analysis,900,27900,32400,28800,32400,LD-LSA1,2026-03-14,,2026-03-14 08:00:00+00:00,08:00:00,28800,29700,900,1800,08:00-08:15,900-1800,24,LSA1_E_id24,East,,,,,,51,5,0
weekend_morning,2026-03-14,analysis,900,27900,32400,28800,32400,LD-LSA1,2026-03-14,,2026-03-14 08:00:00+00:00,08:00:00,28800,29700,900,1800,08:00-08:15,900-1800,25,LSA1_E_id25,East,,,,,,0,100,0
weekend_morning,2026-03-14,analysis,900,27900,32400,28800,32400,LD-LSA1,2026-03-14,,2026-03-14 08:00:00+00:00,08:00:00,28800,29700,900,1800,08:00-08:15,900-1800,26,LSA1_E_id26,East,,,,,,14,1,0
weekend_morning,2026-03-14,analysis,900,27900,32400,28800,32400,LD-LSA1,2026-03-14,,2026-03-14 08:00:00+00:00,08:00:00,28800,29700,900,1800,08:00-08:15,900-1800,27,LSA1_E_id27,East,,,,,,38,16,0
weekend_morning,2026-03-14,analysis,900,27900,32400,28800,32400,LD-LSA1,2026-03-14,,2026-03-14 08:00:00+00:00,08:00:00,28800,29700,900,1800,08:00-08:15,900-1800,28,LSA1_N_id28,North,,,,,,5,4,0
weekend_morning,2026-03-14,analysis,900,27900,32400,28800,32400,LD-LSA1,2026-03-14,,2026-03-14 08:00:00+00:00,08:00:00,28800,29700,900,1800,08:00-08:15,900-1800,29,LSA1_N_id29,North,,,,,,0,100,0
weekend_morning,2026-03-14,analysis,900,27900,32400,28800,32400,LD-LSA1,2026-03-14,,2026-03-14 08:00:00+00:00,08:00:00,28800,29700,900,1800,08:00-08:15,900-1800,30,LSA1_N_id30,North,,,,,,46,31,0
weekend_morning,2026-03-14,analysis,900,27900,32400,28800,32400,LD-LSA1,2026-03-14,,2026-03-14 08:00:00+00:00,08:00:00,28800,29700,900,1800,08:00-08:15,900-1800,39,LSA1_N_id39,North,,,,,,51,12,0
weekend_morning,2026-03-14,analysis,900,27900,32400,28800,32400,LD-LSA1,2026-03-14,,2026-03-14 08:00:00+00:00,08:00:00,28800,29700,900,1800,08:00-08:15,900-1800,40,LSA1_N_id40,North,,,,,,24,9,0
weekend_morning,2026-03-14,analysis,900,27900,32400,28800,32400,LD-LSA1,2026-03-14,,2026-03-14 08:15:00+00:00,08:15:00,29700,30600,1800,2700,08:15-08:30,1800-2700,7,LSA1_W_id7,West,,,,,,30,64,0
weekend_morning,2026-03-14,analysis,900,27900,32400,28800,32400,LD-LSA1,2026-03-14,,2026-03-14 08:15:00+00:00,08:15:00,29700,30600,1800,2700,08:15-08:30,1800-2700,8,LSA1_W_id8,West,,,,,,82,13,0
weekend_morning,2026-03-14,analysis,900,27900,32400,28800,32400,LD-LSA1,2026-03-14,,2026-03-14 08:15:00+00:00,08:15:00,29700,30600,1800,2700,08:15-08:30,1800-2700,9,LSA1_W_id9,West,,,,,,87,59,0
weekend_morning,2026-03-14,analysis,900,27900,32400,28800,32400,LD-LSA1,2026-03-14,,2026-03-14 08:15:00+00:00,08:15:00,29700,30600,1800,2700,08:15-08:30,1800-2700,10,LSA1_W_id10,West,,,,,,102,19,0
weekend_morning,2026-03-14,analysis,900,27900,32400,28800,32400,LD-LSA1,2026-03-14,,2026-03-14 08:15:00+00:00,08:15:00,29700,30600,1800,2700,08:15-08:30,1800-2700,11,LSA1_S_id11,South,,,,,,0,0,0
weekend_morning,2026-03-14,analysis,900,27900,32400,28800,32400,LD-LSA1,2026-03-14,,2026-03-14 08:15:00+00:00,08:15:00,29700,30600,1800,2700,08:15-08:30,1800-2700,12,LSA1_S_id12,South,,,,,,0,0,0
weekend_morning,2026-03-14,analysis,900,27900,32400,28800,32400,LD-LSA1,2026-03-14,,2026-03-14 08:15:00+00:00,08:15:00,29700,30600,1800,2700,08:15-08:30,1800-2700,13,LSA1_E_id13,East,,,,,,24,40,0
weekend_morning,2026-03-14,analysis,900,27900,32400,28800,32400,LD-LSA1,2026-03-14,,2026-03-14 08:15:00+00:00,08:15:00,29700,30600,1800,2700,08:15-08:30,1800-2700,14,LSA1_E_id14,East,,,,,,98,18,0
weekend_morning,2026-03-14,analysis,900,27900,32400,28800,32400,LD-LSA1,2026-03-14,,2026-03-14 08:15:00+00:00,08:15:00,29700,30600,1800,2700,08:15-08:30,1800-2700,23,LSA1_E_id23,East,,,,,,40,36,0
weekend_morning,2026-03-14,analysis,900,27900,32400,28800,32400,LD-LSA1,2026-03-14,,2026-03-14 08:15:00+00:00,08:15:00,29700,30600,1800,2700,08:15-08:30,1800-2700,24,LSA1_E_id24,East,,,,,,67,11,0
weekend_morning,2026-03-14,analysis,900,27900,32400,28800,32400,LD-LSA1,2026-03-14,,2026-03-14 08:15:00+00:00,08:15:00,29700,30600,1800,2700,08:15-08:30,1800-2700,25,LSA1_E_id25,East,,,,,,0,100,0
weekend_morning,2026-03-14,analysis,900,27900,32400,28800,32400,LD-LSA1,2026-03-14,,2026-03-14 08:15:00+00:00,08:15:00,29700,30600,1800,2700,08:15-08:30,1800-2700,26,LSA1_E_id26,East,,,,,,20,1,0
weekend_morning,2026-03-14,analysis,900,27900,32400,28800,32400,LD-LSA1,2026-03-14,,2026-03-14 08:15:00+00:00,08:15:00,29700,30600,1800,2700,08:15-08:30,1800-2700,27,LSA1_E_id27,East,,,,,,54,17,0
weekend_morning,2026-03-14,analysis,900,27900,32400,28800,32400,LD-LSA1,2026-03-14,,2026-03-14 08:15:00+00:00,08:15:00,29700,30600,1800,2700,08:15-08:30,1800-2700,28,LSA1_N_id28,North,,,,,,5,6,0
weekend_morning,2026-03-14,analysis,900,27900,32400,28800,32400,LD-LSA1,2026-03-14,,2026-03-14 08:15:00+00:00,08:15:00,29700,30600,1800,2700,08:15-08:30,1800-2700,29,LSA1_N_id29,North,,,,,,0,100,0
weekend_morning,2026-03-14,analysis,900,27900,32400,28800,32400,LD-LSA1,2026-03-14,,2026-03-14 08:15:00+00:00,08:15:00,29700,30600,1800,2700,08:15-08:30,1800-2700,30,LSA1_N_id30,North,,,,,,47,32,0
weekend_morning,2026-03-14,analysis,900,27900,32400,28800,32400,LD-LSA1,2026-03-14,,2026-03-14 08:15:00+00:00,08:15:00,29700,30600,1800,2700,08:15-08:30,1800-2700,39,LSA1_N_id39,North,,,,,,55,13,0
weekend_morning,2026-03-14,analysis,900,27900,32400,28800,32400,LD-LSA1,2026-03-14,,2026-03-14 08:15:00+00:00,08:15:00,29700,30600,1800,2700,08:15-08:30,1800-2700,40,LSA1_N_id40,North,,,,,,24,4,0
weekend_morning,2026-03-14,analysis,900,27900,32400,28800,32400,LD-LSA1,2026-03-14,,2026-03-14 08:30:00+00:00,08:30:00,30600,31500,2700,3600,08:30-08:45,2700-3600,7,LSA1_W_id7,West,,,,,,41,55,0
weekend_morning,2026-03-14,analysis,900,27900,32400,28800,32400,LD-LSA1,2026-03-14,,2026-03-14 08:30:00+00:00,08:30:00,30600,31500,2700,3600,08:30-08:45,2700-3600,8,LSA1_W_id8,West,,,,,,99,20,0
weekend_morning,2026-03-14,analysis,900,27900,32400,28800,32400,LD-LSA1,2026-03-14,,2026-03-14 08:30:00+00:00,08:30:00,30600,31500,2700,3600,08:30-08:45,2700-3600,9,LSA1_W_id9,West,,,,,,95,48,0
weekend_morning,2026-03-14,analysis,900,27900,32400,28800,32400,LD-LSA1,2026-03-14,,2026-03-14 08:30:00+00:00,08:30:00,30600,31500,2700,3600,08:30-08:45,2700-3600,10,LSA1_W_id10,West,,,,,,120,16,0
weekend_morning,2026-03-14,analysis,900,27900,32400,28800,32400,LD-LSA1,2026-03-14,,2026-03-14 08:30:00+00:00,08:30:00,30600,31500,2700,3600,08:30-08:45,2700-3600,11,LSA1_S_id11,South,,,,,,0,0,0
weekend_morning,2026-03-14,analysis,900,27900,32400,28800,32400,LD-LSA1,2026-03-14,,2026-03-14 08:30:00+00:00,08:30:00,30600,31500,2700,3600,08:30-08:45,2700-3600,12,LSA1_S_id12,South,,,,,,0,0,0
weekend_morning,2026-03-14,analysis,900,27900,32400,28800,32400,LD-LSA1,2026-03-14,,2026-03-14 08:30:00+00:00,08:30:00,30600,31500,2700,3600,08:30-08:45,2700-3600,13,LSA1_E_id13,East,,,,,,33,36,0
weekend_morning,2026-03-14,analysis,900,27900,32400,28800,32400,LD-LSA1,2026-03-14,,2026-03-14 08:30:00+00:00,08:30:00,30600,31500,2700,3600,08:30-08:45,2700-3600,14,LSA1_E_id14,East,,,,,,108,19,0
weekend_morning,2026-03-14,analysis,900,27900,32400,28800,32400,LD-LSA1,2026-03-14,,2026-03-14 08:30:00+00:00,08:30:00,30600,31500,2700,3600,08:30-08:45,2700-3600,23,LSA1_E_id23,East,,,,,,43,32,0
weekend_morning,2026-03-14,analysis,900,27900,32400,28800,32400,LD-LSA1,2026-03-14,,2026-03-14 08:30:00+00:00,08:30:00,30600,31500,2700,3600,08:30-08:45,2700-3600,24,LSA1_E_id24,East,,,,,,81,11,0
weekend_morning,2026-03-14,analysis,900,27900,32400,28800,32400,LD-LSA1,2026-03-14,,2026-03-14 08:30:00+00:00,08:30:00,30600,31500,2700,3600,08:30-08:45,2700-3600,25,LSA1_E_id25,East,,,,,,0,100,0
weekend_morning,2026-03-14,analysis,900,27900,32400,28800,32400,LD-LSA1,2026-03-14,,2026-03-14 08:30:00+00:00,08:30:00,30600,31500,2700,3600,08:30-08:45,2700-3600,26,LSA1_E_id26,East,,,,,,16,1,0
weekend_morning,2026-03-14,analysis,900,27900,32400,28800,32400,LD-LSA1,2026-03-14,,2026-03-14 08:30:00+00:00,08:30:00,30600,31500,2700,3600,08:30-08:45,2700-3600,27,LSA1_E_id27,East,,,,,,70,21,0
weekend_morning,2026-03-14,analysis,900,27900,32400,28800,32400,LD-LSA1,2026-03-14,,2026-03-14 08:30:00+00:00,08:30:00,30600,31500,2700,3600,08:30-08:45,2700-3600,28,LSA1_N_id28,North,,,,,,11,11,0
weekend_morning,2026-03-14,analysis,900,27900,32400,28800,32400,LD-LSA1,2026-03-14,,2026-03-14 08:30:00+00:00,08:30:00,30600,31500,2700,3600,08:30-08:45,2700-3600,29,LSA1_N_id29,North,,,,,,0,100,0
weekend_morning,2026-03-14,analysis,900,27900,32400,28800,32400,LD-LSA1,2026-03-14,,2026-03-14 08:30:00+00:00,08:30:00,30600,31500,2700,3600,08:30-08:45,2700-3600,30,LSA1_N_id30,North,,,,,,49,46,0
weekend_morning,2026-03-14,analysis,900,27900,32400,28800,32400,LD-LSA1,2026-03-14,,2026-03-14 08:30:00+00:00,08:30:00,30600,31500,2700,3600,08:30-08:45,2700-3600,39,LSA1_N_id39,North,,,,,,57,19,0
weekend_morning,2026-03-14,analysis,900,27900,32400,28800,32400,LD-LSA1,2026-03-14,,2026-03-14 08:30:00+00:00,08:30:00,30600,31500,2700,3600,08:30-08:45,2700-3600,40,LSA1_N_id40,North,,,,,,21,12,0
weekend_morning,2026-03-14,analysis,900,27900,32400,28800,32400,LD-LSA1,2026-03-14,,2026-03-14 08:45:00+00:00,08:45:00,31500,32400,3600,4500,08:45-09:00,3600-4500,7,LSA1_W_id7,West,,,,,,44,68,0
weekend_morning,2026-03-14,analysis,900,27900,32400,28800,32400,LD-LSA1,2026-03-14,,2026-03-14 08:45:00+00:00,08:45:00,31500,32400,3600,4500,08:45-09:00,3600-4500,8,LSA1_W_id8,West,,,,,,87,16,0
weekend_morning,2026-03-14,analysis,900,27900,32400,28800,32400,LD-LSA1,2026-03-14,,2026-03-14 08:45:00+00:00,08:45:00,31500,32400,3600,4500,08:45-09:00,3600-4500,9,LSA1_W_id9,West,,,,,,96,57,0
weekend_morning,2026-03-14,analysis,900,27900,32400,28800,32400,LD-LSA1,2026-03-14,,2026-03-14 08:45:00+00:00,08:45:00,31500,32400,3600,4500,08:45-09:00,3600-4500,10,LSA1_W_id10,West,,,,,,107,31,0
weekend_morning,2026-03-14,analysis,900,27900,32400,28800,32400,LD-LSA1,2026-03-14,,2026-03-14 08:45:00+00:00,08:45:00,31500,32400,3600,4500,08:45-09:00,3600-4500,11,LSA1_S_id11,South,,,,,,0,0,0
weekend_morning,2026-03-14,analysis,900,27900,32400,28800,32400,LD-LSA1,2026-03-14,,2026-03-14 08:45:00+00:00,08:45:00,31500,32400,3600,4500,08:45-09:00,3600-4500,12,LSA1_S_id12,South,,,,,,0,0,0
weekend_morning,2026-03-14,analysis,900,27900,32400,28800,32400,LD-LSA1,2026-03-14,,2026-03-14 08:45:00+00:00,08:45:00,31500,32400,3600,4500,08:45-09:00,3600-4500,13,LSA1_E_id13,East,,,,,,36,37,0
weekend_morning,2026-03-14,analysis,900,27900,32400,28800,32400,LD-LSA1,2026-03-14,,2026-03-14 08:45:00+00:00,08:45:00,31500,32400,3600,4500,08:45-09:00,3600-4500,14,LSA1_E_id14,East,,,,,,126,23,0
weekend_morning,2026-03-14,analysis,900,27900,32400,28800,32400,LD-LSA1,2026-03-14,,2026-03-14 08:45:00+00:00,08:45:00,31500,32400,3600,4500,08:45-09:00,3600-4500,23,LSA1_E_id23,East,,,,,,49,39,0
weekend_morning,2026-03-14,analysis,900,27900,32400,28800,32400,LD-LSA1,2026-03-14,,2026-03-14 08:45:00+00:00,08:45:00,31500,32400,3600,4500,08:45-09:00,3600-4500,24,LSA1_E_id24,East,,,,,,82,10,0
weekend_morning,2026-03-14,analysis,900,27900,32400,28800,32400,LD-LSA1,2026-03-14,,2026-03-14 08:45:00+00:00,08:45:00,31500,32400,3600,4500,08:45-09:00,3600-4500,25,LSA1_E_id25,East,,,,,,0,100,0
weekend_morning,2026-03-14,analysis,900,27900,32400,28800,32400,LD-LSA1,2026-03-14,,2026-03-14 08:45:00+00:00,08:45:00,31500,32400,3600,4500,08:45-09:00,3600-4500,26,LSA1_E_id26,East,,,,,,21,2,0
weekend_morning,2026-03-14,analysis,900,27900,32400,28800,32400,LD-LSA1,2026-03-14,,2026-03-14 08:45:00+00:00,08:45:00,31500,32400,3600,4500,08:45-09:00,3600-4500,27,LSA1_E_id27,East,,,,,,69,19,0
weekend_morning,2026-03-14,analysis,900,27900,32400,28800,32400,LD-LSA1,2026-03-14,,2026-03-14 08:45:00+00:00,08:45:00,31500,32400,3600,4500,08:45-09:00,3600-4500,28,LSA1_N_id28,North,,,,,,7,9,0
weekend_morning,2026-03-14,analysis,900,27900,32400,28800,32400,LD-LSA1,2026-03-14,,2026-03-14 08:45:00+00:00,08:45:00,31500,32400,3600,4500,08:45-09:00,3600-4500,29,LSA1_N_id29,North,,,,,,0,100,0
weekend_morning,2026-03-14,analysis,900,27900,32400,28800,32400,LD-LSA1,2026-03-14,,2026-03-14 08:45:00+00:00,08:45:00,31500,32400,3600,4500,08:45-09:00,3600-4500,30,LSA1_N_id30,North,,,,,,55,49,0
weekend_morning,2026-03-14,analysis,900,27900,32400,28800,32400,LD-LSA1,2026-03-14,,2026-03-14 08:45:00+00:00,08:45:00,31500,32400,3600,4500,08:45-09:00,3600-4500,39,LSA1_N_id39,North,,,,,,61,12,0
weekend_morning,2026-03-14,analysis,900,27900,32400,28800,32400,LD-LSA1,2026-03-14,,2026-03-14 08:45:00+00:00,08:45:00,31500,32400,3600,4500,08:45-09:00,3600-4500,40,LSA1_N_id40,North,,,,,,23,9,0
weekend_morning,2026-03-14,analysis,900,27900,32400,28800,32400,LD-LSA10,2026-03-14,,2026-03-14 08:00:00+00:00,08:00:00,28800,29700,900,1800,08:00-08:15,900-1800,1,LSA10_W_id1,West,,,,,,71,35,0
weekend_morning,2026-03-14,analysis,900,27900,32400,28800,32400,LD-LSA10,2026-03-14,,2026-03-14 08:00:00+00:00,08:00:00,28800,29700,900,1800,08:00-08:15,900-1800,2,LSA10_NW_id2,North-West,,,,,,22,7,0
weekend_morning,2026-03-14,analysis,900,27900,32400,28800,32400,LD-LSA10,2026-03-14,,2026-03-14 08:00:00+00:00,08:00:00,28800,29700,900,1800,08:00-08:15,900-1800,3,LSA10_E_id3,East,,,,,,46,13,0
weekend_morning,2026-03-14,analysis,900,27900,32400,28800,32400,LD-LSA10,2026-03-14,,2026-03-14 08:00:00+00:00,08:00:00,28800,29700,900,1800,08:00-08:15,900-1800,4,LSA10_E_id4,East,,,,,,29,5,0
weekend_morning,2026-03-14,analysis,900,27900,32400,28800,32400,LD-LSA10,2026-03-14,,2026-03-14 08:00:00+00:00,08:00:00,28800,29700,900,1800,08:00-08:15,900-1800,26,LSA10_NW_id26,North-West,,,,,,4,37,0
weekend_morning,2026-03-14,analysis,900,27900,32400,28800,32400,LD-LSA10,2026-03-14,,2026-03-14 08:00:00+00:00,08:00:00,28800,29700,900,1800,08:00-08:15,900-1800,27,LSA10_NW_id27,North-West,,,,,,11,45,0
weekend_morning,2026-03-14,analysis,900,27900,32400,28800,32400,LD-LSA10,2026-03-14,,2026-03-14 08:00:00+00:00,08:00:00,28800,29700,900,1800,08:00-08:15,900-1800,29,LSA10_NE_id29,North-East,,,,,,3,0,0
weekend_morning,2026-03-14,analysis,900,27900,32400,28800,32400,LD-LSA10,2026-03-14,,2026-03-14 08:00:00+00:00,08:00:00,28800,29700,900,1800,08:00-08:15,900-1800,31,LSA10_S_id31,South,,,,,,18,33,0
weekend_morning,2026-03-14,analysis,900,27900,32400,28800,32400,LD-LSA10,2026-03-14,,2026-03-14 08:15:00+00:00,08:15:00,29700,30600,1800,2700,08:15-08:30,1800-2700,1,LSA10_W_id1,West,,,,,,49,24,0
weekend_morning,2026-03-14,analysis,900,27900,32400,28800,32400,LD-LSA10,2026-03-14,,2026-03-14 08:15:00+00:00,08:15:00,29700,30600,1800,2700,08:15-08:30,1800-2700,2,LSA10_NW_id2,North-West,,,,,,30,13,0
weekend_morning,2026-03-14,analysis,900,27900,32400,28800,32400,LD-LSA10,2026-03-14,,2026-03-14 08:15:00+00:00,08:15:00,29700,30600,1800,2700,08:15-08:30,1800-2700,3,LSA10_E_id3,East,,,,,,56,19,0
