scenario_name,scenario_date,interval_role,intersection,date,begin_s,end_s,sim_begin_s,sim_end_s,detector_id,sumo_id,approach,edge_id,count_type,from_edge,to_edge,movement,count,mean_occupancy,mean_speed
weekday_morning,2026-03-10,analysis,LD-LSA1,2026-03-10,29700,30600,1800,2700,23,LSA1_E_id23,East,,,,,,49,29.0,0.0
weekday_morning,2026-03-10,analysis,LD-LSA1,2026-03-10,30600,31500,2700,3600,23,LSA1_E_id23,East,,,,,,51,54.0,0.0
weekday_morning,2026-03-10,analysis,LD-LSA1,2026-03-10,31500,32400,3600,4500,23,LSA1_E_id23,East,,,,,,63,47.0,0.0
weekday_morning,2026-03-10,warmup,LD-LSA1,2026-03-10,27900,28800,0,900,24,LSA1_E_id24,East,,,,,,96,19.0,0.0
weekday_morning,2026-03-10,analysis,LD-LSA1,2026-03-10,28800,29700,900,1800,24,LSA1_E_id24,East,,,,,,114,19.0,0.0
weekday_morning,2026-03-10,analysis,LD-LSA1,2026-03-10,29700,30600,1800,2700,24,LSA1_E_id24,East,,,,,,108,11.0,0.0
weekday_morning,2026-03-10,analysis,LD-LSA1,2026-03-10,30600,31500,2700,3600,24,LSA1_E_id24,East,,,,,,91,17.0,0.0
weekday_morning,2026-03-10,analysis,LD-LSA1,2026-03-10,31500,32400,3600,4500,24,LSA1_E_id24,East,,,,,,98,32.0,0.0
weekday_morning,2026-03-10,warmup,LD-LSA1,2026-03-10,27900,28800,0,900,25,LSA1_E_id25,East,,,,,,0,100.0,0.0
weekday_morning,2026-03-10,analysis,LD-LSA1,2026-03-10,28800,29700,900,1800,25,LSA1_E_id25,East,,,,,,0,100.0,0.0
weekday_morning,2026-03-10,analysis,LD-LSA1,2026-03-10,29700,30600,1800,2700,25,LSA1_E_id25,East,,,,,,0,100.0,0.0
weekday_morning,2026-03-10,analysis,LD-LSA1,2026-03-10,30600,31500,2700,3600,25,LSA1_E_id25,East,,,,,,0,100.0,0.0
weekday_morning,2026-03-10,analysis,LD-LSA1,2026-03-10,31500,32400,3600,4500,25,LSA1_E_id25,East,,,,,,0,100.0,0.0
