scenario,date,window_start,window_end,approach,signal_group,signal_id,observed_seconds,green_seconds,cycle_count,green_minutes,green_share_percent,avg_cycle_time_s,avg_green_per_cycle_s,detector_ids,demand_veh_per_hour,n_detector_measurements,capacity_veh_per_hour,saturation,saturation_level
weekday_evening,2026-03-23,16:00:00,17:00:00,East,K4,4,3601,2068,89,34.46666666666667,57.4284920855318,40.46067415730337,23.235955056179776,10+11,684,8,1034.0,0.66,Low
weekday_evening,2026-03-23,16:00:00,17:00:00,North,K3,3,3601,893,89,14.883333333333333,24.798667036934184,40.46067415730337,10.03370786516854,6+7,255,8,446.5,0.57,Low
weekday_evening,2026-03-23,16:00:00,17:00:00,South,K1,1,3601,893,89,14.883333333333333,24.798667036934184,40.46067415730337,10.03370786516854,1+2+33,408,12,446.5,0.91,High
weekday_evening,2026-03-23,16:00:00,17:00:00,West,K2,2,3601,949,89,15.816666666666666,26.353790613718413,40.46067415730337,10.662921348314606,3+4,338,8,474.5,0.71,Moderate
weekday_morning,2026-03-10,08:00:00,09:00:00,East,K4,4,3600,2059,89,34.31666666666667,57.19444444444445,40.4494382022472,23.13483146067416,10+11,381,8,1029.5,0.37,Low
weekday_morning,2026-03-10,08:00:00,09:00:00,North,K3,3,3600,901,89,15.016666666666667,25.02777777777777,40.4494382022472,10.123595505617978,6+7,166,8,450.5,0.37,Low
weekday_morning,2026-03-10,08:00:00,09:00:00,South,K1,1,3600,901,89,15.016666666666667,25.02777777777777,40.4494382022472,10.123595505617978,1+2+33,443,12,450.5,0.98,High
weekday_morning,2026-03-10,08:00:00,09:00:00,West,K2,2,3600,1069,89,17.816666666666666,29.694444444444446,40.4494382022472,12.01123595505618,3+4,362,8,534.5,0.68,Low
weekend_evening,2026-03-22,16:00:00,17:00:00,East,K4,4,3601,1834,89,30.566666666666663,50.93029713968343,40.46067415730337,20.60674157303371,10+11,339,8,917.0,0.37,Low
weekend_evening,2026-03-22,16:00:00,17:00:00,North,K3,3,3601,1127,89,18.78333333333333,31.29686198278256,40.46067415730337,12.662921348314606,6+7,144,8,563.5,0.26,Low
weekend_evening,2026-03-22,16:00:00,17:00:00,South,K1,1,3601,1127,89,18.78333333333333,31.29686198278256,40.46067415730337,12.662921348314606,1+2+33,283,12,563.5,0.5,Low
weekend_evening,2026-03-22,16:00:00,17:00:00,West,K2,2,3601,1008,89,16.8,27.99222438211608,40.46067415730337,11.325842696629213,3+4,274,8,504.0,0.54,Low
weekend_morning,2026-03-14,08:00:00,09:00:00,East,K4,4,3600,1629,89,27.15,45.25,40.4494382022472,18.30337078651685,10+11,183,8,814.5,0.22,Low
weekend_morning,2026-03-14,08:00:00,09:00:00,North,K3,3,3600,1327,89,22.116666666666667,36.86111111111112,40.4494382022472,14.910112359550562,6+7,82,8,663.5,0.12,Low
weekend_morning,2026-03-14,08:00:00,09:00:00,South,K1,1,3600,1327,89,22.116666666666667,36.86111111111112,40.4494382022472,14.910112359550562,1+2+33,197,12,663.5,0.3,Low
weekend_morning,2026-03-14,08:00:00,09:00:00,West,K2,2,3600,999,89,16.65,27.750000000000004,40.4494382022472,11.224719101123595,3+4,120,8,499.5,0.24,Low
