block_id,start_time,end_time,date,K1,K2,K3,K4,pattern,stage,program,n_seconds,duration_s
1,2026-03-10 08:00:00+01:00,2026-03-10 08:00:21+01:00,2026-03-10,2,2,2,4,2-2-2-4,5,3,22,22
2,2026-03-10 08:00:22+01:00,2026-03-10 08:00:24+01:00,2026-03-10,2,2,2,3,2-2-2-3,5,3,3,3
3,2026-03-10 08:00:25+01:00,2026-03-10 08:00:28+01:00,2026-03-10,2,2,2,2,2-2-2-2,5,3,4,4
4,2026-03-10 08:00:29+01:00,2026-03-10 08:00:29+01:00,2026-03-10,5,2,5,2,5-2-5-2,5,3,1,1
5,2026-03-10 08:00:30+01:00,2026-03-10 08:00:46+01:00,2026-03-10,4,2,4,2,4-2-4-2,5,3,17,17
6,2026-03-10 08:00:47+01:00,2026-03-10 08:00:49+01:00,2026-03-10,3,2,3,2,3-2-3-2,2,3,3,3
7,2026-03-10 08:00:50+01:00,2026-03-10 08:00:53+01:00,2026-03-10,2,2,2,2,2-2-2-2,2,3,4,4
8,2026-03-10 08:00:54+01:00,2026-03-10 08:00:54+01:00,2026-03-10,2,5,2,5,2-5-2-5,2,3,1,1
9,2026-03-10 08:00:55+01:00,2026-03-10 08:01:24+01:00,2026-03-10,2,4,2,4,2-4-2-4,2,3,30,30
10,2026-03-10 08:01:25+01:00,2026-03-10 08:01:27+01:00,2026-03-10,2,3,2,4,2-3-2-4,4,3,3,3
11,2026-03-10 08:01:28+01:00,2026-03-10 08:01:51+01:00,2026-03-10,2,2,2,4,2-2-2-4,4,3,24,24
12,2026-03-10 08:01:52+01:00,2026-03-10 08:01:54+01:00,2026-03-10,2,2,2,3,2-2-2-3,5,3,3,3
13,2026-03-10 08:01:55+01:00,2026-03-10 08:01:58+01:00,2026-03-10,2,2,2,2,2-2-2-2,5,3,4,4
14,2026-03-10 08:01:59+01:00,2026-03-10 08:01:59+01:00,2026-03-10,5,2,5,2,5-2-5-2,5,3,1,1
15,2026-03-10 08:02:00+01:00,2026-03-10 08:02:16+01:00,2026-03-10,4,2,4,2,4-2-4-2,5,3,17,17
16,2026-03-10 08:02:17+01:00,2026-03-10 08:02:19+01:00,2026-03-10,3,2,3,2,3-2-3-2,2,3,3,3
