date,detector_id,detector_name,approach,group,timeframes_present,count_nonzero_intervals,occupancy_nonzero_intervals,speed_nonzero_intervals,count_all_zero,occupancy_all_zero,speed_all_zero,count_sum,occupancy_sum,speed_sum,confidence_min,count_invalid_samples_sum,occupancy_invalid_samples_sum,speed_invalid_samples_sum,count_expected_samples_sum,occupancy_expected_samples_sum,speed_expected_samples_sum,count_included_samples_sum,occupancy_included_samples_sum,speed_included_samples_sum,confidence_mean,problem_count_always_zero,problem_occupancy_always_zero,problem_speed_always_zero,suggestion
2026-03-01,8,VD31,East,Entry,95,95,85,0,False,False,True,4400.0,1603.0,0.0,100.0,0,0,0,95,95,95,95,95,95,100.0,False,False,True,COUNT_OK_SPEED_ZERO
2026-03-02,8,VD31,East,Entry,95,95,85,0,False,False,True,5353.0,3390.0,0.0,100.0,0,0,0,95,95,95,95,95,95,100.0,False,False,True,COUNT_OK_SPEED_ZERO
2026-03-03,8,VD31,East,Entry,95,94,84,0,False,False,True,5555.0,3362.0,0.0,100.0,0,0,0,95,95,95,95,95,95,100.0,False,False,True,COUNT_OK_SPEED_ZERO
2026-03-04,8,VD31,East,Entry,95,94,82,0,False,False,True,5449.0,3349.0,0.0,100.0,0,0,0,95,95,95,95,95,95,100.0,False,False,True,COUNT_OK_SPEED_ZERO
2026-03-05,8,VD31,East,Entry,93,92,84,0,False,False,True,5417.0,3721.0,0.0,100.0,0,0,0,93,93,93,93,93,93,100.0,False,False,True,COUNT_OK_SPEED_ZERO
2026-03-06,8,VD31,East,Entry,95,93,83,0,False,False,True,5898.0,3435.0,0.0,100.0,0,0,0,95,95,95,95,95,95,100.0,False,False,True,COUNT_OK_SPEED_ZERO
2026-03-07,8,VD31,East,Entry,95,95,88,0,False,False,True,5417.0,2614.0,0.0,100.0,0,0,0,95,95,95,95,95,95,100.0,False,False,True,COUNT_OK_SPEED_ZERO
2026-03-08,8,VD31,East,Entry,95,95,86,0,False,False,True,4408.0,1560.0,0.0,100.0,0,0,0,95,95,95,95,95,95,100.0,False,False,True,COUNT_OK_SPEED_ZERO
2026-03-09,8,VD31,East,Entry,95,92,80,0,False,False,True,5291.0,3373.0,0.0,100.0,0,0,0,95,95,95,95,95,95,100.0,False,False,True,COUNT_OK_SPEED_ZERO
2026-03-10,8,VD31,East,Entry,95,95,82,0,False,False,True,5199.0,3484.0,0.0,100.0,0,0,0,95,95,95,95,95,95,100.0,False,False,True,COUNT_OK_SPEED_ZERO
2026-03-11,8,VD31,East,Entry,95,95,91,0,False,False,True,4829.0,3816.0,0.0,100.0,0,0,0,95,95,95,95,95,95,100.0,False,False,True,COUNT_OK_SPEED_ZERO
2026-03-12,8,VD31,East,Entry,95,95,93,0,False,False,True,5684.0,3621.0,0.0,100.0,0,0,0,95,95,95,95,95,95,100.0,False,False,True,COUNT_OK_SPEED_ZERO
2026-03-13,8,VD31,East,Entry,95,95,82,0,False,False,True,5761.0,3743.0,0.0,100.0,0,0,0,95,95,95,95,95,95,100.0,False,False,True,COUNT_OK_SPEED_ZERO
2026-03-14,8,VD31,East,Entry,95,95,95,0,False,False,True,5320.0,2676.0,0.0,100.0,0,0,0,95,95,95,95,95,95,100.0,False,False,True,COUNT_OK_SPEED_ZERO
2026-03-15,8,VD31,East,Entry,95,95,89,0,False,False,True,4245.0,1396.0,0.0,100.0,0,0,0,95,95,95,95,95,95,100.0,False,False,True,COUNT_OK_SPEED_ZERO
2026-03-16,8,VD31,East,Entry,95,92,83,0,False,False,True,5357.0,3428.0,0.0,100.0,0,0,0,95,95,95,95,95,95,100.0,False,False,True,COUNT_OK_SPEED_ZERO
2026-03-17,8,VD31,East,Entry,95,91,87,0,False,False,True,5516.0,3422.0,0.0,100.0,0,0,0,95,95,95,95,95,95,100.0,False,False,True,COUNT_OK_SPEED_ZERO
2026-03-18,8,VD31,East,Entry,95,93,84,0,False,False,True,5582.0,3424.0,0.0,100.0,0,0,0,95,95,95,95,95,95,100.0,False,False,True,COUNT_OK_SPEED_ZERO
2026-03-19,8,VD31,East,Entry,95,95,83,0,False,False,True,5540.0,3446.0,0.0,100.0,0,0,0,95,95,95,95,95,95,100.0,False,False,True,COUNT_OK_SPEED_ZERO
2026-03-20,8,VD31,East,Entry,95,95,83,0,False,False,True,5921.0,3569.0,0.0,100.0,0,0,0,95,95,95,95,95,95,100.0,False,False,True,COUNT_OK_SPEED_ZERO
2026-03-21,8,VD31,East,Entry,95,95,91,0,False,False,True,4966.0,2538.0,0.0,100.0,0,0,0,95,95,95,95,95,95,100.0,False,False,True,COUNT_OK_SPEED_ZERO
2026-03-22,8,VD31,East,Entry,95,95,85,0,False,False,True,4258.0,1479.0,0.0,100.0,0,0,0,95,95,95,95,95,95,100.0,False,False,True,COUNT_OK_SPEED_ZERO
2026-03-23,8,VD31,East,Entry,95,95,85,0,False,False,True,5547.0,3394.0,0.0,100.0,0,0,0,95,95,95,95,95,95,100.0,False,False,True,COUNT_OK_SPEED_ZERO
2026-03-24,8,VD31,East,Entry,95,95,80,0,False,False,True,5487.0,3465.0,0.0,100.0,0,0,0,95,95,95,95,95,95,100.0,False,False,True,COUNT_OK_SPEED_ZERO
2026-03-25,8,VD31,East,Entry,95,94,84,0,False,False,True,5200.0,3938.0,0.0,100.0,0,0,0,95,95,95,95,95,95,100.0,False,False,True,COUNT_OK_SPEED_ZERO
2026-03-26,8,VD31,East,Entry,95,95,89,0,False,False,True,5376.0,3745.0,0.0,100.0,0,0,0,95,95,95,95,95,95,100.0,False,False,True,COUNT_OK_SPEED_ZERO
2026-03-27,8,VD31,East,Entry,95,94,86,0,False,False,True,5738.0,3784.0,0.0,100.0,0,0,0,95,95,95,95,95,95,100.0,False,False,True,COUNT_OK_SPEED_ZERO
2026-03-28,8,VD31,East,Entry,95,95,93,0,False,False,True,4789.0,2720.0,0.0,100.0,0,0,0,95,95,95,95,95,95,100.0,False,False,True,COUNT_OK_SPEED_ZERO
2026-03-29,8,VD31,East,Entry,95,95,92,0,False,False,True,4441.0,1819.0,0.0,100.0,0,0,0,95,95,95,95,95,95,100.0,False,False,True,COUNT_OK_SPEED_ZERO
2026-03-30,8,VD31,East,Entry,95,94,86,0,False,False,True,5949.0,3291.0,0.0,100.0,0,0,0,95,95,95,95,95,95,100.0,False,False,True,COUNT_OK_SPEED_ZERO
2026-03-31,8,VD31,East,Entry,95,94,86,0,False,False,True,5417.0,3629.0,0.0,100.0,0,0,0,95,95,95,95,95,95,100.0,False,False,True,COUNT_OK_SPEED_ZERO
2026-04-01,8,VD31,East,Entry,95,95,87,0,False,False,True,6001.0,3177.0,0.0,100.0,0,0,0,95,95,95,95,95,95,100.0,False,False,True,COUNT_OK_SPEED_ZERO
2026-03-01,9,VD32,East,Entry,95,93,67,0,False,False,True,2112.0,613.0,0.0,100.0,0,0,0,95,95,95,95,95,95,100.0,False,False,True,COUNT_OK_SPEED_ZERO
2026-03-02,9,VD32,East,Entry,95,92,72,0,False,False,True,3544.0,1427.0,0.0,100.0,0,0,0,95,95,95,95,95,95,100.0,False,False,True,COUNT_OK_SPEED_ZERO
2026-03-03,9,VD32,East,Entry,95,87,71,0,False,False,True,3590.0,1349.0,0.0,100.0,0,0,0,95,95,95,95,95,95,100.0,False,False,True,COUNT_OK_SPEED_ZERO
2026-03-04,9,VD32,East,Entry,95,92,73,0,False,False,True,3664.0,1442.0,0.0,100.0,0,0,0,95,95,95,95,95,95,100.0,False,False,True,COUNT_OK_SPEED_ZERO
2026-03-05,9,VD32,East,Entry,93,87,72,0,False,False,True,3690.0,1615.0,0.0,100.0,0,0,0,93,93,93,93,93,93,100.0,False,False,True,COUNT_OK_SPEED_ZERO
2026-03-06,9,VD32,East,Entry,95,90,74,0,False,False,True,3757.0,1447.0,0.0,100.0,0,0,0,95,95,95,95,95,95,100.0,False,False,True,COUNT_OK_SPEED_ZERO
2026-03-07,9,VD32,East,Entry,95,94,77,0,False,False,True,2971.0,1068.0,0.0,100.0,0,0,0,95,95,95,95,95,95,100.0,False,False,True,COUNT_OK_SPEED_ZERO
2026-03-08,9,VD32,East,Entry,95,92,69,0,False,False,True,2147.0,602.0,0.0,100.0,0,0,0,95,95,95,95,95,95,100.0,False,False,True,COUNT_OK_SPEED_ZERO
2026-03-09,9,VD32,East,Entry,95,89,75,0,False,False,True,3338.0,1479.0,0.0,100.0,0,0,0,95,95,95,95,95,95,100.0,False,False,True,COUNT_OK_SPEED_ZERO
2026-03-10,9,VD32,East,Entry,95,92,78,0,False,False,True,3702.0,1486.0,0.0,100.0,0,0,0,95,95,95,95,95,95,100.0,False,False,True,COUNT_OK_SPEED_ZERO
2026-03-11,9,VD32,East,Entry,95,95,89,0,False,False,True,3943.0,2094.0,0.0,100.0,0,0,0,95,95,95,95,95,95,100.0,False,False,True,COUNT_OK_SPEED_ZERO
2026-03-12,9,VD32,East,Entry,95,95,85,0,False,False,True,3946.0,1711.0,0.0,100.0,0,0,0,95,95,95,95,95,95,100.0,False,False,True,COUNT_OK_SPEED_ZERO
2026-03-13,9,VD32,East,Entry,95,91,77,0,False,False,True,3968.0,1765.0,0.0,100.0,0,0,0,95,95,95,95,95,95,100.0,False,False,True,COUNT_OK_SPEED_ZERO
2026-03-14,9,VD32,East,Entry,95,95,95,0,False,False,True,3273.0,1148.0,0.0,100.0,0,0,0,95,95,95,95,95,95,100.0,False,False,True,COUNT_OK_SPEED_ZERO
2026-03-15,9,VD32,East,Entry,95,95,76,0,False,False,True,2120.0,520.0,0.0,100.0,0,0,0,95,95,95,95,95,95,100.0,False,False,True,COUNT_OK_SPEED_ZERO
2026-03-16,9,VD32,East,Entry,95,89,77,0,False,False,True,3730.0,1431.0,0.0,100.0,0,0,0,95,95,95,95,95,95,100.0,False,False,True,COUNT_OK_SPEED_ZERO
2026-03-17,9,VD32,East,Entry,95,91,85,0,False,False,True,3825.0,1467.0,0.0,100.0,0,0,0,95,95,95,95,95,95,100.0,False,False,True,COUNT_OK_SPEED_ZERO
2026-03-18,9,VD32,East,Entry,95,92,76,0,False,False,True,3686.0,1374.0,0.0,100.0,0,0,0,95,95,95,95,95,95,100.0,False,False,True,COUNT_OK_SPEED_ZERO
2026-03-19,9,VD32,East,Entry,95,91,75,0,False,False,True,3585.0,1368.0,0.0,100.0,0,0,0,95,95,95,95,95,95,100.0,False,False,True,COUNT_OK_SPEED_ZERO
2026-03-20,9,VD32,East,Entry,95,88,78,0,False,False,True,3849.0,1461.0,0.0,100.0,0,0,0,95,95,95,95,95,95,100.0,False,False,True,COUNT_OK_SPEED_ZERO
2026-03-21,9,VD32,East,Entry,95,94,72,0,False,False,True,2673.0,1063.0,0.0,100.0,0,0,0,95,95,95,95,95,95,100.0,False,False,True,COUNT_OK_SPEED_ZERO
2026-03-22,9,VD32,East,Entry,95,93,68,0,False,False,True,2024.0,482.0,0.0,100.0,0,0,0,95,95,95,95,95,95,100.0,False,False,True,COUNT_OK_SPEED_ZERO
2026-03-23,9,VD32,East,Entry,95,93,76,0,False,False,True,3493.0,1336.0,0.0,100.0,0,0,0,95,95,95,95,95,95,100.0,False,False,True,COUNT_OK_SPEED_ZERO
2026-03-24,9,VD32,East,Entry,95,91,72,0,False,False,True,3519.0,1470.0,0.0,100.0,0,0,0,95,95,95,95,95,95,100.0,False,False,True,COUNT_OK_SPEED_ZERO
2026-03-25,9,VD32,East,Entry,95,91,79,0,False,False,True,5456.0,2239.0,0.0,100.0,0,0,0,95,95,95,95,95,95,100.0,False,False,True,COUNT_OK_SPEED_ZERO
2026-03-26,9,VD32,East,Entry,95,95,84,0,False,False,True,4443.0,1792.0,0.0,100.0,0,0,0,95,95,95,95,95,95,100.0,False,False,True,COUNT_OK_SPEED_ZERO
2026-03-27,9,VD32,East,Entry,95,94,80,0,False,False,True,4183.0,1618.0,0.0,100.0,0,0,0,95,95,95,95,95,95,100.0,False,False,True,COUNT_OK_SPEED_ZERO
2026-03-28,9,VD32,East,Entry,95,95,84,0,False,False,True,3231.0,1398.0,0.0,100.0,0,0,0,95,95,95,95,95,95,100.0,False,False,True,COUNT_OK_SPEED_ZERO
