approach,group,detector_id,detector_name,n_days,days_present,total_timeframes,count_nonzero_days,occupancy_nonzero_days,speed_nonzero_days,count_all_zero_days,occupancy_all_zero_days,speed_all_zero_days,total_count,total_occupancy,total_speed,min_confidence,mean_confidence,count_invalid_samples,occupancy_invalid_samples,speed_invalid_samples,final_suggestion
East,Entry,13,DET41,32,29,2337,29,29,0,3,3,32,73013.0,64079.0,0.0,100.0,100.0,0,0,0,USE
East,Entry,14,DET42,32,29,2337,29,27,0,3,5,32,196147.0,45793.0,0.0,100.0,100.0,0,0,0,USE
East,Entry,23,DET43,32,29,2337,29,29,0,3,3,32,98571.0,68827.0,0.0,100.0,100.0,0,0,0,USE
East,Entry,24,DET44,32,29,2337,29,26,0,3,6,32,149985.0,33360.0,0.0,100.0,100.0,0,0,0,USE
East,Entry,25,DET51,32,29,2337,0,29,0,32,3,32,0.0,233700.0,0.0,100.0,100.0,0,0,0,USE
East,Entry,26,DET52,32,29,2337,29,26,0,3,6,32,49239.0,9301.0,0.0,100.0,100.0,0,0,0,USE
East,Entry,27,DET61,32,29,2337,29,29,0,3,3,32,101573.0,35943.0,0.0,100.0,100.0,0,0,0,USE
North,Entry,28,DET71,32,29,2337,28,27,0,4,5,32,21837.0,28341.0,0.0,100.0,100.0,0,0,0,USE
North,Entry,29,DET72,32,29,2337,0,29,0,32,3,32,0.0,233700.0,0.0,100.0,100.0,0,0,0,USE
North,Entry,30,DET73,32,29,2337,29,29,0,3,3,32,94917.0,82999.0,0.0,100.0,100.0,0,0,0,USE
North,Entry,39,DET74,32,29,2337,29,26,0,3,6,32,104581.0,39658.0,0.0,100.0,100.0,0,0,0,USE
North,Entry,40,DET81,32,29,2337,29,29,0,3,3,32,56553.0,35899.0,0.0,100.0,100.0,0,0,0,USE
South,Entry,11,DET31,32,29,2337,0,0,0,32,32,32,0.0,0.0,0.0,100.0,100.0,0,0,0,USE
South,Entry,12,DET32,32,29,2337,0,0,0,32,32,32,0.0,0.0,0.0,100.0,100.0,0,0,0,USE
West,Entry,7,DET11,32,29,2337,29,29,0,3,3,32,70175.0,90865.0,0.0,100.0,100.0,0,0,0,USE
West,Entry,8,DET12,32,29,2337,29,26,0,3,6,32,147546.0,36350.0,0.0,100.0,100.0,0,0,0,USE
West,Entry,9,DET21,32,29,2337,29,29,0,3,3,32,189079.0,92087.0,0.0,100.0,100.0,0,0,0,USE
West,Entry,10,DET22,32,29,2337,29,27,0,3,5,32,197894.0,61873.0,0.0,100.0,100.0,0,0,0,USE
