scenario,lsa,detector_id_sumo,detector_id_real,begin_s,end_s,nVehEntered,nVehContrib,flow,occupancy,speed,harmonicMeanSpeed
weekday_evening,LSA16,LSA16_E_id10,10,900.0,1800.0,83.0,82.0,328.0,21.34,8.1,2.26
weekday_evening,LSA16,LSA16_E_id11,11,900.0,1800.0,68.0,67.0,268.0,22.92,7.44,1.87
weekday_evening,LSA16,LSA16_E_id14,14,900.0,1800.0,68.0,68.0,272.0,4.14,12.67,9.54
weekday_evening,LSA16,LSA16_Eout_id13,13,900.0,1800.0,122.0,122.0,488.0,11.79,10.76,5.66
weekday_evening,LSA16,LSA16_N_id6,6,900.0,1800.0,28.0,29.0,116.0,4.82,9.9,1.81
weekday_evening,LSA16,LSA16_N_id7,7,900.0,1800.0,26.0,26.0,104.0,1.5,12.12,9.39
weekday_evening,LSA16,LSA16_S_id1,1,900.0,1800.0,57.0,58.0,232.0,31.62,8.33,0.97
weekday_evening,LSA16,LSA16_S_id2,2,900.0,1800.0,29.0,29.0,116.0,1.56,12.28,11.72
weekday_evening,LSA16,LSA16_S_id33,33,900.0,1800.0,18.0,19.0,76.0,0.85,12.61,12.37
weekday_evening,LSA16,LSA16_W_id3,3,900.0,1800.0,63.0,62.0,248.0,52.15,8.27,0.68
weekday_evening,LSA16,LSA16_W_id4,4,900.0,1800.0,10.0,10.0,40.0,27.38,5.65,0.18
weekday_evening,LSA16,LSA16_W_id5,5,900.0,1800.0,65.0,65.0,260.0,22.49,8.81,1.74
weekday_evening,LSA16,LSA16_Wout_id15,15,900.0,1800.0,97.0,97.0,388.0,3.96,13.3,13.25
weekday_evening,LSA1,LSA1_E_id13,13,900.0,1800.0,52.0,52.0,208.0,35.02,7.13,0.7
weekday_evening,LSA1,LSA1_E_id14,14,900.0,1800.0,123.0,120.0,480.0,18.78,9.67,3.59
weekday_evening,LSA1,LSA1_E_id23,23,900.0,1800.0,85.0,86.0,344.0,40.92,8.16,1.07
