TLS,total_real,total_sim,mean_GEH,max_GEH,GEH_lt_5_share_percent
TLS-1,2131,1825.0,1.7628818125180026,4.97468338163091,100.0
TLS-10,807,842.0,1.3680240654575335,3.938927711338648,100.0
TLS-16,1517,1391.0,1.4453425598985932,4.8,100.0
TLS-9,934,723.0,2.0850286009260053,7.69800358919501,87.5
