edge,count,occupancy_mean
-1182936853,164,6.9
-1183449794,70,23.0
-13831317#2.34,92,37.2
-14811373#0,4,3.8
-14811383#2,277,17.9
-202157700#5,433,15.0
-202157703,383,12.133333333333333
-202234344,640,55.900000000000006
-237921040,913,8.666666666666666
-25563346#2,36,3.2
-26202222#0.41,253,33.0
-30329931#2,581,38.3
202157700#3,315,12.600000000000001
202234068#0,485,16.2
237921036.41,443,17.533333333333335
26202222#0,234,7.8
75642281,388,11.600000000000001
