edge,count,occupancy_mean
-1182936853,236,16.0
-1183449794,70,25.6
-13831317#2.34,105,40.3
-14811373#0,35,2.6
-14811383#2,168,12.0
-202157700#5,503,17.4
-202157703,409,14.6
-202234344,700,47.4
-237921040,1059,10.533333333333333
-25563346#2,28,3.6
-26202222#0.41,320,35.4
-30329931#2,749,47.4
202157700#3,452,15.5
202234068#0,640,22.799999999999997
237921036.41,445,28.400000000000002
26202222#0,375,12.6
75642281,487,14.5
