edge,count,occupancy_mean
-1182936853,298,27.400000000000002
-1183449794,98,51.2
-13831317#2.34,137,49.8
-14811373#0,63,13.8
-14811383#2,370,42.3
-202157700#5,575,24.6
-202157703,422,22.666666666666668
-202234344,1051,61.099999999999994
-237921040,1747,34.53333333333333
-25563346#2,41,9.6
-26202222#0.41,375,48.0
-30329931#2,629,72.4
202157700#3,786,33.3
202234068#0,733,54.6
237921036.41,728,41.93333333333333
26202222#0,718,30.8
75642281,644,42.9
