approach,naive_MAE,lstm_MAE,naive_MSE,lstm_MSE,naive_RMSE,lstm_RMSE,mae_improvement_percent,mse_improvement_percent,rmse_improvement_percent
west,13.633359244863964,12.771004913684097,442.5307247084952,361.47808587054885,21.03641425501255,19.012577044434266,6.32532537059594,18.315708788658124,9.620637747690498
east,17.513603553581344,15.662235597449499,680.9494725152693,590.7983391494369,26.095008574730713,24.30634359893394,10.57102811804405,13.239034172805086,6.8544333705597635
north,10.117157134925042,8.644829707657676,240.25152692948362,180.52165030996977,15.500049255711533,13.435834559489402,14.552778094004317,24.86139313364081,13.317471849074922
