lsa,source_period,file_name,date_str,read_ok,n_timeframes,empty_timeframes_list,n_timeframes_present,n_timeframes_with_detector_data,n_detector_records,first_timestamp,last_timestamp,expected_bins_per_day,coverage_ratio,day_status,max_continuous_bins_with_data,max_continuous_hours_with_data,model_usability
LD-LSA1,historical,2025-05-26.json,2025-05-26,True,58,False,50.0,50.0,2100.0,2025-05-26 11:30:00+02:00,2025-05-26 23:45:00+02:00,96,0.5208333333333334,partial_day,50.0,12.5,usable_partial
LD-LSA1,historical,2025-05-27.json,2025-05-27,True,96,False,96.0,96.0,4032.0,2025-05-27 00:00:00+02:00,2025-05-27 23:45:00+02:00,96,1.0,full_day,96.0,24.0,usable
LD-LSA1,historical,2025-05-28.json,2025-05-28,True,96,False,96.0,96.0,4032.0,2025-05-28 00:00:00+02:00,2025-05-28 23:45:00+02:00,96,1.0,full_day,96.0,24.0,usable
LD-LSA1,historical,2025-05-29.json,2025-05-29,True,96,False,96.0,96.0,4032.0,2025-05-29 00:00:00+02:00,2025-05-29 23:45:00+02:00,96,1.0,full_day,96.0,24.0,usable
LD-LSA1,historical,2025-05-30.json,2025-05-30,True,96,False,96.0,96.0,4032.0,2025-05-30 00:00:00+02:00,2025-05-30 23:45:00+02:00,96,1.0,full_day,96.0,24.0,usable
LD-LSA1,historical,2025-05-31.json,2025-05-31,True,96,False,96.0,96.0,4032.0,2025-05-31 00:00:00+02:00,2025-05-31 23:45:00+02:00,96,1.0,full_day,96.0,24.0,usable
LD-LSA1,historical,2025-06-01.json,2025-06-01,True,96,False,96.0,96.0,4032.0,2025-06-01 00:00:00+02:00,2025-06-01 23:45:00+02:00,96,1.0,full_day,96.0,24.0,usable
LD-LSA1,historical,2025-06-02.json,2025-06-02,True,96,False,96.0,96.0,4032.0,2025-06-02 00:00:00+02:00,2025-06-02 23:45:00+02:00,96,1.0,full_day,96.0,24.0,usable
LD-LSA1,historical,2025-06-03.json,2025-06-03,True,96,False,96.0,96.0,4032.0,2025-06-03 00:00:00+02:00,2025-06-03 23:45:00+02:00,96,1.0,full_day,96.0,24.0,usable
LD-LSA1,historical,2025-06-04.json,2025-06-04,True,96,False,96.0,96.0,4032.0,2025-06-04 00:00:00+02:00,2025-06-04 23:45:00+02:00,96,1.0,full_day,96.0,24.0,usable
LD-LSA1,historical,2025-06-05.json,2025-06-05,True,96,False,96.0,96.0,4032.0,2025-06-05 00:00:00+02:00,2025-06-05 23:45:00+02:00,96,1.0,full_day,96.0,24.0,usable
LD-LSA1,historical,2025-06-06.json,2025-06-06,True,96,False,96.0,96.0,4032.0,2025-06-06 00:00:00+02:00,2025-06-06 23:45:00+02:00,96,1.0,full_day,96.0,24.0,usable
LD-LSA1,historical,2025-06-07.json,2025-06-07,True,96,False,96.0,96.0,4032.0,2025-06-07 00:00:00+02:00,2025-06-07 23:45:00+02:00,96,1.0,full_day,96.0,24.0,usable
LD-LSA1,historical,2025-06-08.json,2025-06-08,True,96,False,96.0,96.0,4032.0,2025-06-08 00:00:00+02:00,2025-06-08 23:45:00+02:00,96,1.0,full_day,96.0,24.0,usable
LD-LSA1,historical,2025-06-09.json,2025-06-09,True,96,False,96.0,96.0,4032.0,2025-06-09 00:00:00+02:00,2025-06-09 23:45:00+02:00,96,1.0,full_day,96.0,24.0,usable
LD-LSA1,historical,2025-06-10.json,2025-06-10,True,96,False,96.0,96.0,4032.0,2025-06-10 00:00:00+02:00,2025-06-10 23:45:00+02:00,96,1.0,full_day,96.0,24.0,usable
LD-LSA1,historical,2025-06-11.json,2025-06-11,True,96,False,96.0,96.0,4032.0,2025-06-11 00:00:00+02:00,2025-06-11 23:45:00+02:00,96,1.0,full_day,96.0,24.0,usable
LD-LSA1,historical,2025-06-12.json,2025-06-12,True,96,False,96.0,96.0,4032.0,2025-06-12 00:00:00+02:00,2025-06-12 23:45:00+02:00,96,1.0,full_day,96.0,24.0,usable
LD-LSA1,historical,2025-06-13.json,2025-06-13,True,96,False,96.0,96.0,4032.0,2025-06-13 00:00:00+02:00,2025-06-13 23:45:00+02:00,96,1.0,full_day,96.0,24.0,usable
LD-LSA1,historical,2025-06-14.json,2025-06-14,True,96,False,96.0,96.0,4032.0,2025-06-14 00:00:00+02:00,2025-06-14 23:45:00+02:00,96,1.0,full_day,96.0,24.0,usable
LD-LSA1,historical,2025-06-15.json,2025-06-15,True,96,False,96.0,96.0,4032.0,2025-06-15 00:00:00+02:00,2025-06-15 23:45:00+02:00,96,1.0,full_day,96.0,24.0,usable
LD-LSA1,historical,2025-06-16.json,2025-06-16,True,96,False,96.0,96.0,4032.0,2025-06-16 00:00:00+02:00,2025-06-16 23:45:00+02:00,96,1.0,full_day,96.0,24.0,usable
LD-LSA1,historical,2025-06-17.json,2025-06-17,True,96,False,96.0,96.0,4032.0,2025-06-17 00:00:00+02:00,2025-06-17 23:45:00+02:00,96,1.0,full_day,96.0,24.0,usable
LD-LSA1,historical,2025-06-18.json,2025-06-18,True,96,False,96.0,96.0,4032.0,2025-06-18 00:00:00+02:00,2025-06-18 23:45:00+02:00,96,1.0,full_day,96.0,24.0,usable
LD-LSA1,historical,2025-06-19.json,2025-06-19,True,96,False,96.0,96.0,4032.0,2025-06-19 00:00:00+02:00,2025-06-19 23:45:00+02:00,96,1.0,full_day,96.0,24.0,usable
