TLS,total_real,total_sim,mean_GEH,max_GEH,GEH_lt_5_share_percent
TLS-1,2350,2130.0,1.3369407938666025,4.677783321695622,100.0
TLS-10,1008,1022.0,1.4714814262540838,5.112925956271959,96.875
TLS-16,1894,1796.0,1.3493242178767575,3.810003810005715,100.0
TLS-9,1043,971.0,1.5758961305807633,5.597618541248888,96.875
