intersection,date,begin_s,end_s,detector_id,sumo_id,approach,edge_id,count_type,from_edge,to_edge,movement,count,mean_occupancy,mean_speed
LD-LSA1,2026-03-22,58500,59400,28,LSA1_N_id28,North,,,,,,12,19.0,0.0
LD-LSA1,2026-03-22,58500,59400,29,LSA1_N_id29,North,,,,,,0,100.0,0.0
LD-LSA1,2026-03-22,58500,59400,30,LSA1_N_id30,North,,,,,,44,55.0,0.0
LD-LSA1,2026-03-22,58500,59400,39,LSA1_N_id39,North,,,,,,48,17.0,0.0
LD-LSA1,2026-03-22,58500,59400,40,LSA1_N_id40,North,,,,,,34,23.0,0.0
LD-LSA10,2026-03-22,58500,59400,1,LSA10_W_id1,West,,,,,,101,40.0,0.0
LD-LSA10,2026-03-22,58500,59400,2,LSA10_NW_id2,North-West,,,,,,25,12.0,0.0
LD-LSA10,2026-03-22,58500,59400,3,LSA10_E_id3,East,,,,,,71,20.0,0.0
LD-LSA10,2026-03-22,58500,59400,4,LSA10_E_id4,East,,,,,,32,6.0,0.0
LD-LSA10,2026-03-22,58500,59400,26,LSA10_NW_id26,North-West,,,,,,5,7.0,0.0
LD-LSA10,2026-03-22,58500,59400,27,LSA10_NW_id27,North-West,,,,,,13,67.0,0.0
LD-LSA10,2026-03-22,58500,59400,29,LSA10_NE_id29,North-East,,,,,,7,3.0,0.0
LD-LSA10,2026-03-22,58500,59400,31,LSA10_S_id31,South,,,,,,14,28.0,0.0
LD-LSA16,2026-03-22,58500,59400,1,LSA16_S_id1,South,,,,,,40,21.0,0.0
LD-LSA16,2026-03-22,58500,59400,2,LSA16_S_id2,South,,,,,,20,10.0,0.0
LD-LSA16,2026-03-22,58500,59400,3,LSA16_W_id3,West,,,,,,55,67.0,0.0
LD-LSA16,2026-03-22,58500,59400,4,LSA16_W_id4,West,,,,,,4,14.0,0.0
LD-LSA16,2026-03-22,58500,59400,5,LSA16_W_id5,West,,,,,,42,54.0,0.0
LD-LSA16,2026-03-22,58500,59400,6,LSA16_N_id6,North,,,,,,12,7.0,0.0
LD-LSA16,2026-03-22,58500,59400,7,LSA16_N_id7,North,,,,,,35,39.0,0.0
LD-LSA16,2026-03-22,58500,59400,10,LSA16_E_id10,East,,,,,,63,9.0,0.0
LD-LSA16,2026-03-22,58500,59400,11,LSA16_E_id11,East,,,,,,30,3.0,0.0
LD-LSA16,2026-03-22,58500,59400,13,LSA16_Eout_id13,East-Exit,,,,,,106,17.0,0.0
LD-LSA16,2026-03-22,58500,59400,15,LSA16_Wout_id15,West-Exit,,,,,,71,5.0,0.0
LD-LSA16,2026-03-22,58500,59400,33,LSA16_S_id33,South,,,,,,24,9.0,0.0
LD-LSA9,2026-03-22,58500,59400,1,LSA9_W_id1,West,,,,,,47,47.0,0.0
LD-LSA9,2026-03-22,58500,59400,2,LSA9_W_id2,West,,,,,,113,38.0,0.0
LD-LSA9,2026-03-22,58500,59400,3,,North-East,,,,,,0,0.0,0.0
LD-LSA9,2026-03-22,58500,59400,4,LSA9_WE_id4,North-West,,,,,,15,48.0,0.0
