scenario,date,start_time,end_time,n_rows,n_detectors,total_count,mean_occupancy_overall
weekday_morning,2026-03-10,08:00:00,09:00:00,196,49,9295,34.44387755102041
weekday_evening,2026-03-23,16:00:00,17:00:00,196,49,10763,42.38775510204081
weekend_morning,2026-03-14,08:00:00,09:00:00,196,49,7017,23.693877551020407
weekend_evening,2026-03-22,16:00:00,17:00:00,196,49,8046,26.479591836734695
