intersection,date,timestamp_utc,timestamp_local,time,begin_s,end_s,detector_id,sumo_id,approach,edge_id,movement,count_type,from_edge,to_edge,count,occupancy,speed
LD-LSA1,2026-03-14,,2026-03-14 08:45:00+00:00,08:45:00,31500,32400,30,LSA1_N_id30,North,,,,,,55,49,0
LD-LSA1,2026-03-14,,2026-03-14 08:45:00+00:00,08:45:00,31500,32400,39,LSA1_N_id39,North,,,,,,61,12,0
LD-LSA1,2026-03-14,,2026-03-14 08:45:00+00:00,08:45:00,31500,32400,40,LSA1_N_id40,North,,,,,,23,9,0
LD-LSA10,2026-03-14,,2026-03-14 08:00:00+00:00,08:00:00,28800,29700,1,LSA10_W_id1,West,,,,,,71,35,0
LD-LSA10,2026-03-14,,2026-03-14 08:00:00+00:00,08:00:00,28800,29700,2,LSA10_NW_id2,North-West,,,,,,22,7,0
LD-LSA10,2026-03-14,,2026-03-14 08:00:00+00:00,08:00:00,28800,29700,3,LSA10_E_id3,East,,,,,,46,13,0
LD-LSA10,2026-03-14,,2026-03-14 08:00:00+00:00,08:00:00,28800,29700,4,LSA10_E_id4,East,,,,,,29,5,0
LD-LSA10,2026-03-14,,2026-03-14 08:00:00+00:00,08:00:00,28800,29700,26,LSA10_NW_id26,North-West,,,,,,4,37,0
LD-LSA10,2026-03-14,,2026-03-14 08:00:00+00:00,08:00:00,28800,29700,27,LSA10_NW_id27,North-West,,,,,,11,45,0
LD-LSA10,2026-03-14,,2026-03-14 08:00:00+00:00,08:00:00,28800,29700,29,LSA10_NE_id29,North-East,,,,,,3,0,0
LD-LSA10,2026-03-14,,2026-03-14 08:00:00+00:00,08:00:00,28800,29700,31,LSA10_S_id31,South,,,,,,18,33,0
LD-LSA10,2026-03-14,,2026-03-14 08:15:00+00:00,08:15:00,29700,30600,1,LSA10_W_id1,West,,,,,,49,24,0
LD-LSA10,2026-03-14,,2026-03-14 08:15:00+00:00,08:15:00,29700,30600,2,LSA10_NW_id2,North-West,,,,,,30,13,0
LD-LSA10,2026-03-14,,2026-03-14 08:15:00+00:00,08:15:00,29700,30600,3,LSA10_E_id3,East,,,,,,56,19,0
LD-LSA10,2026-03-14,,2026-03-14 08:15:00+00:00,08:15:00,29700,30600,4,LSA10_E_id4,East,,,,,,25,5,0
LD-LSA10,2026-03-14,,2026-03-14 08:15:00+00:00,08:15:00,29700,30600,26,LSA10_NW_id26,North-West,,,,,,7,32,0
LD-LSA10,2026-03-14,,2026-03-14 08:15:00+00:00,08:15:00,29700,30600,27,LSA10_NW_id27,North-West,,,,,,17,47,0
LD-LSA10,2026-03-14,,2026-03-14 08:15:00+00:00,08:15:00,29700,30600,29,LSA10_NE_id29,North-East,,,,,,7,9,0
LD-LSA10,2026-03-14,,2026-03-14 08:15:00+00:00,08:15:00,29700,30600,31,LSA10_S_id31,South,,,,,,12,35,0
LD-LSA10,2026-03-14,,2026-03-14 08:30:00+00:00,08:30:00,30600,31500,1,LSA10_W_id1,West,,,,,,52,46,0
LD-LSA10,2026-03-14,,2026-03-14 08:30:00+00:00,08:30:00,30600,31500,2,LSA10_NW_id2,North-West,,,,,,28,17,0
LD-LSA10,2026-03-14,,2026-03-14 08:30:00+00:00,08:30:00,30600,31500,3,LSA10_E_id3,East,,,,,,63,22,0
LD-LSA10,2026-03-14,,2026-03-14 08:30:00+00:00,08:30:00,30600,31500,4,LSA10_E_id4,East,,,,,,24,7,0
LD-LSA10,2026-03-14,,2026-03-14 08:30:00+00:00,08:30:00,30600,31500,26,LSA10_NW_id26,North-West,,,,,,3,15,0
LD-LSA10,2026-03-14,,2026-03-14 08:30:00+00:00,08:30:00,30600,31500,27,LSA10_NW_id27,North-West,,,,,,13,53,0
LD-LSA10,2026-03-14,,2026-03-14 08:30:00+00:00,08:30:00,30600,31500,29,LSA10_NE_id29,North-East,,,,,,8,2,0
LD-LSA10,2026-03-14,,2026-03-14 08:30:00+00:00,08:30:00,30600,31500,31,LSA10_S_id31,South,,,,,,11,17,0
LD-LSA10,2026-03-14,,2026-03-14 08:45:00+00:00,08:45:00,31500,32400,1,LSA10_W_id1,West,,,,,,50,46,0
LD-LSA10,2026-03-14,,2026-03-14 08:45:00+00:00,08:45:00,31500,32400,2,LSA10_NW_id2,North-West,,,,,,28,35,0
LD-LSA10,2026-03-14,,2026-03-14 08:45:00+00:00,08:45:00,31500,32400,3,LSA10_E_id3,East,,,,,,51,23,0
