intersection,date,begin_s,end_s,detector_id,sumo_id,approach,edge_id,count_type,from_edge,to_edge,movement,count,mean_occupancy,mean_speed
LD-LSA1,2026-03-10,30600,31500,30,LSA1_N_id30,North,,,,,,82,58.0,0.0
LD-LSA1,2026-03-10,31500,32400,30,LSA1_N_id30,North,,,,,,66,61.0,0.0
LD-LSA1,2026-03-10,28800,29700,39,LSA1_N_id39,North,,,,,,76,27.0,0.0
LD-LSA1,2026-03-10,29700,30600,39,LSA1_N_id39,North,,,,,,79,22.0,0.0
LD-LSA1,2026-03-10,30600,31500,39,LSA1_N_id39,North,,,,,,88,35.0,0.0
LD-LSA1,2026-03-10,31500,32400,39,LSA1_N_id39,North,,,,,,77,27.0,0.0
LD-LSA1,2026-03-10,28800,29700,40,LSA1_N_id40,North,,,,,,20,13.0,0.0
LD-LSA1,2026-03-10,29700,30600,40,LSA1_N_id40,North,,,,,,29,22.0,0.0
LD-LSA1,2026-03-10,30600,31500,40,LSA1_N_id40,North,,,,,,25,15.0,0.0
LD-LSA1,2026-03-10,31500,32400,40,LSA1_N_id40,North,,,,,,40,30.0,0.0
LD-LSA10,2026-03-10,28800,29700,1,LSA10_W_id1,West,,,,,,90,64.0,0.0
LD-LSA10,2026-03-10,29700,30600,1,LSA10_W_id1,West,,,,,,81,58.0,0.0
LD-LSA10,2026-03-10,30600,31500,1,LSA10_W_id1,West,,,,,,88,55.0,0.0
LD-LSA10,2026-03-10,31500,32400,1,LSA10_W_id1,West,,,,,,101,62.0,0.0
LD-LSA10,2026-03-10,28800,29700,2,LSA10_NW_id2,North-West,,,,,,45,38.0,0.0
LD-LSA10,2026-03-10,29700,30600,2,LSA10_NW_id2,North-West,,,,,,53,17.0,0.0
LD-LSA10,2026-03-10,30600,31500,2,LSA10_NW_id2,North-West,,,,,,43,24.0,0.0
LD-LSA10,2026-03-10,31500,32400,2,LSA10_NW_id2,North-West,,,,,,38,41.0,0.0
LD-LSA10,2026-03-10,28800,29700,3,LSA10_E_id3,East,,,,,,59,38.0,0.0
LD-LSA10,2026-03-10,29700,30600,3,LSA10_E_id3,East,,,,,,56,26.0,0.0
LD-LSA10,2026-03-10,30600,31500,3,LSA10_E_id3,East,,,,,,65,21.0,0.0
LD-LSA10,2026-03-10,31500,32400,3,LSA10_E_id3,East,,,,,,59,28.0,0.0
LD-LSA10,2026-03-10,28800,29700,4,LSA10_E_id4,East,,,,,,33,17.0,0.0
LD-LSA10,2026-03-10,29700,30600,4,LSA10_E_id4,East,,,,,,23,6.0,0.0
LD-LSA10,2026-03-10,30600,31500,4,LSA10_E_id4,East,,,,,,32,8.0,0.0
LD-LSA10,2026-03-10,31500,32400,4,LSA10_E_id4,East,,,,,,36,14.0,0.0
LD-LSA10,2026-03-10,28800,29700,26,LSA10_NW_id26,North-West,,,,,,10,30.0,0.0
LD-LSA10,2026-03-10,29700,30600,26,LSA10_NW_id26,North-West,,,,,,12,19.0,0.0
LD-LSA10,2026-03-10,30600,31500,26,LSA10_NW_id26,North-West,,,,,,6,22.0,0.0
LD-LSA10,2026-03-10,31500,32400,26,LSA10_NW_id26,North-West,,,,,,5,16.0,0.0
LD-LSA10,2026-03-10,28800,29700,27,LSA10_NW_id27,North-West,,,,,,19,61.0,0.0
LD-LSA10,2026-03-10,29700,30600,27,LSA10_NW_id27,North-West,,,,,,19,58.0,0.0
LD-LSA10,2026-03-10,30600,31500,27,LSA10_NW_id27,North-West,,,,,,17,63.0,0.0
LD-LSA10,2026-03-10,31500,32400,27,LSA10_NW_id27,North-West,,,,,,14,66.0,0.0
LD-LSA10,2026-03-10,28800,29700,29,LSA10_NE_id29,North-East,,,,,,13,6.0,0.0
LD-LSA10,2026-03-10,29700,30600,29,LSA10_NE_id29,North-East,,,,,,7,10.0,0.0
LD-LSA10,2026-03-10,30600,31500,29,LSA10_NE_id29,North-East,,,,,,13,12.0,0.0
LD-LSA10,2026-03-10,31500,32400,29,LSA10_NE_id29,North-East,,,,,,2,10.0,0.0
LD-LSA10,2026-03-10,28800,29700,31,LSA10_S_id31,South,,,,,,11,35.0,0.0
LD-LSA10,2026-03-10,29700,30600,31,LSA10_S_id31,South,,,,,,14,38.0,0.0
LD-LSA10,2026-03-10,30600,31500,31,LSA10_S_id31,South,,,,,,13,43.0,0.0
LD-LSA10,2026-03-10,31500,32400,31,LSA10_S_id31,South,,,,,,14,60.0,0.0
LD-LSA16,2026-03-10,28800,29700,1,LSA16_S_id1,South,,,,,,40,42.0,0.0
LD-LSA16,2026-03-10,29700,30600,1,LSA16_S_id1,South,,,,,,32,30.0,0.0
LD-LSA16,2026-03-10,30600,31500,1,LSA16_S_id1,South,,,,,,44,30.0,0.0
LD-LSA16,2026-03-10,31500,32400,1,LSA16_S_id1,South,,,,,,36,23.0,0.0
LD-LSA16,2026-03-10,28800,29700,2,LSA16_S_id2,South,,,,,,23,26.0,0.0
LD-LSA16,2026-03-10,29700,30600,2,LSA16_S_id2,South,,,,,,35,15.0,0.0
LD-LSA16,2026-03-10,30600,31500,2,LSA16_S_id2,South,,,,,,21,27.0,0.0
LD-LSA16,2026-03-10,31500,32400,2,LSA16_S_id2,South,,,,,,25,8.0,0.0
LD-LSA16,2026-03-10,28800,29700,3,LSA16_W_id3,West,,,,,,88,75.0,0.0
LD-LSA16,2026-03-10,29700,30600,3,LSA16_W_id3,West,,,,,,59,56.0,0.0
LD-LSA16,2026-03-10,30600,31500,3,LSA16_W_id3,West,,,,,,79,71.0,0.0
LD-LSA16,2026-03-10,31500,32400,3,LSA16_W_id3,West,,,,,,64,53.0,0.0
LD-LSA16,2026-03-10,28800,29700,4,LSA16_W_id4,West,,,,,,14,37.0,0.0
LD-LSA16,2026-03-10,29700,30600,4,LSA16_W_id4,West,,,,,,10,34.0,0.0
LD-LSA16,2026-03-10,30600,31500,4,LSA16_W_id4,West,,,,,,11,19.0,0.0
LD-LSA16,2026-03-10,31500,32400,4,LSA16_W_id4,West,,,,,,11,32.0,0.0
LD-LSA16,2026-03-10,28800,29700,5,LSA16_W_id5,West,,,,,,66,77.0,0.0
LD-LSA16,2026-03-10,29700,30600,5,LSA16_W_id5,West,,,,,,52,53.0,0.0
LD-LSA16,2026-03-10,30600,31500,5,LSA16_W_id5,West,,,,,,73,80.0,0.0
LD-LSA16,2026-03-10,31500,32400,5,LSA16_W_id5,West,,,,,,56,52.0,0.0
LD-LSA16,2026-03-10,28800,29700,6,LSA16_N_id6,North,,,,,,5,2.0,0.0
LD-LSA16,2026-03-10,29700,30600,6,LSA16_N_id6,North,,,,,,13,8.0,0.0
LD-LSA16,2026-03-10,30600,31500,6,LSA16_N_id6,North,,,,,,14,11.0,0.0
LD-LSA16,2026-03-10,31500,32400,6,LSA16_N_id6,North,,,,,,10,7.0,0.0
LD-LSA16,2026-03-10,28800,29700,7,LSA16_N_id7,North,,,,,,22,25.0,0.0
LD-LSA16,2026-03-10,29700,30600,7,LSA16_N_id7,North,,,,,,30,34.0,0.0
LD-LSA16,2026-03-10,30600,31500,7,LSA16_N_id7,North,,,,,,39,41.0,0.0
LD-LSA16,2026-03-10,31500,32400,7,LSA16_N_id7,North,,,,,,28,22.0,0.0
LD-LSA16,2026-03-10,28800,29700,10,LSA16_E_id10,East,,,,,,49,15.0,0.0
LD-LSA16,2026-03-10,29700,30600,10,LSA16_E_id10,East,,,,,,41,13.0,0.0
LD-LSA16,2026-03-10,30600,31500,10,LSA16_E_id10,East,,,,,,53,15.0,0.0
LD-LSA16,2026-03-10,31500,32400,10,LSA16_E_id10,East,,,,,,58,36.0,0.0
