block_id,start_time,end_time,date,K1,K2,K3,K4,K5,pattern,stage,program,n_seconds,duration_s
45,2026-03-10 08:03:27+01:00,2026-03-10 08:03:40+01:00,2026-03-10,2,4,4,2,2,2-4-4-2-2,2,3,14,14
46,2026-03-10 08:03:41+01:00,2026-03-10 08:03:41+01:00,2026-03-10,2,4,3,2,2,2-4-3-2-2,4,3,1,1
47,2026-03-10 08:03:42+01:00,2026-03-10 08:03:43+01:00,2026-03-10,2,3,3,2,2,2-3-3-2-2,4,3,2,2
48,2026-03-10 08:03:44+01:00,2026-03-10 08:03:44+01:00,2026-03-10,2,3,2,2,2,2-3-2-2-2,4,3,1,1
49,2026-03-10 08:03:45+01:00,2026-03-10 08:03:48+01:00,2026-03-10,2,2,2,2,2,2-2-2-2-2,4,3,4,4
50,2026-03-10 08:03:49+01:00,2026-03-10 08:03:49+01:00,2026-03-10,5,2,2,2,2,5-2-2-2-2,4,3,1,1
51,2026-03-10 08:03:50+01:00,2026-03-10 08:04:05+01:00,2026-03-10,4,2,2,2,2,4-2-2-2-2,4,3,16,16
52,2026-03-10 08:04:06+01:00,2026-03-10 08:04:06+01:00,2026-03-10,4,2,2,5,2,4-2-2-5-2,3,3,1,1
53,2026-03-10 08:04:07+01:00,2026-03-10 08:04:32+01:00,2026-03-10,4,2,2,4,2,4-2-2-4-2,3,3,26,26
54,2026-03-10 08:04:33+01:00,2026-03-10 08:04:34+01:00,2026-03-10,3,2,2,4,2,3-2-2-4-2,1,3,2,2
55,2026-03-10 08:04:35+01:00,2026-03-10 08:04:35+01:00,2026-03-10,3,2,2,3,2,3-2-2-3-2,1,3,1,1
56,2026-03-10 08:04:36+01:00,2026-03-10 08:04:37+01:00,2026-03-10,2,2,2,3,2,2-2-2-3-2,1,3,2,2
57,2026-03-10 08:04:38+01:00,2026-03-10 08:04:39+01:00,2026-03-10,2,2,2,2,2,2-2-2-2-2,1,3,2,2
58,2026-03-10 08:04:40+01:00,2026-03-10 08:04:40+01:00,2026-03-10,2,2,2,2,5,2-2-2-2-5,1,3,1,1
59,2026-03-10 08:04:41+01:00,2026-03-10 08:04:47+01:00,2026-03-10,2,2,2,2,4,2-2-2-2-4,1,3,7,7
60,2026-03-10 08:04:48+01:00,2026-03-10 08:04:50+01:00,2026-03-10,2,2,2,2,3,2-2-2-2-3,2,3,3,3
61,2026-03-10 08:04:51+01:00,2026-03-10 08:04:54+01:00,2026-03-10,2,2,2,2,2,2-2-2-2-2,2,3,4,4
62,2026-03-10 08:04:55+01:00,2026-03-10 08:04:55+01:00,2026-03-10,2,5,5,2,2,2-5-5-2-2,2,3,1,1
63,2026-03-10 08:04:56+01:00,2026-03-10 08:05:06+01:00,2026-03-10,2,4,4,2,2,2-4-4-2-2,2,3,11,11
64,2026-03-10 08:05:07+01:00,2026-03-10 08:05:09+01:00,2026-03-10,2,3,4,2,2,2-3-4-2-2,4,3,3,3
65,2026-03-10 08:05:10+01:00,2026-03-10 08:05:12+01:00,2026-03-10,2,2,3,2,2,2-2-3-2-2,4,3,3,3
66,2026-03-10 08:05:13+01:00,2026-03-10 08:05:13+01:00,2026-03-10,2,2,2,2,2,2-2-2-2-2,4,3,1,1
67,2026-03-10 08:05:14+01:00,2026-03-10 08:05:14+01:00,2026-03-10,2,2,2,5,2,2-2-2-5-2,4,3,1,1
68,2026-03-10 08:05:15+01:00,2026-03-10 08:05:15+01:00,2026-03-10,5,2,2,4,2,5-2-2-4-2,4,3,1,1
69,2026-03-10 08:05:16+01:00,2026-03-10 08:06:02+01:00,2026-03-10,4,2,2,4,2,4-2-2-4-2,4,3,47,47
70,2026-03-10 08:06:03+01:00,2026-03-10 08:06:04+01:00,2026-03-10,3,2,2,4,2,3-2-2-4-2,1,3,2,2
71,2026-03-10 08:06:05+01:00,2026-03-10 08:06:05+01:00,2026-03-10,3,2,2,3,2,3-2-2-3-2,1,3,1,1
72,2026-03-10 08:06:06+01:00,2026-03-10 08:06:07+01:00,2026-03-10,2,2,2,3,2,2-2-2-3-2,1,3,2,2
73,2026-03-10 08:06:08+01:00,2026-03-10 08:06:09+01:00,2026-03-10,2,2,2,2,2,2-2-2-2-2,1,3,2,2
74,2026-03-10 08:06:10+01:00,2026-03-10 08:06:10+01:00,2026-03-10,2,2,2,2,5,2-2-2-2-5,1,3,1,1
75,2026-03-10 08:06:11+01:00,2026-03-10 08:06:20+01:00,2026-03-10,2,2,2,2,4,2-2-2-2-4,1,3,10,10
76,2026-03-10 08:06:21+01:00,2026-03-10 08:06:23+01:00,2026-03-10,2,2,2,2,3,2-2-2-2-3,2,3,3,3
77,2026-03-10 08:06:24+01:00,2026-03-10 08:06:27+01:00,2026-03-10,2,2,2,2,2,2-2-2-2-2,2,3,4,4
78,2026-03-10 08:06:28+01:00,2026-03-10 08:06:28+01:00,2026-03-10,2,5,5,2,2,2-5-5-2-2,2,3,1,1
79,2026-03-10 08:06:29+01:00,2026-03-10 08:06:38+01:00,2026-03-10,2,4,4,2,2,2-4-4-2-2,2,3,10,10
80,2026-03-10 08:06:39+01:00,2026-03-10 08:06:41+01:00,2026-03-10,2,3,4,2,2,2-3-4-2-2,4,3,3,3
81,2026-03-10 08:06:42+01:00,2026-03-10 08:06:44+01:00,2026-03-10,2,2,3,2,2,2-2-3-2-2,4,3,3,3
82,2026-03-10 08:06:45+01:00,2026-03-10 08:06:45+01:00,2026-03-10,2,2,2,2,2,2-2-2-2-2,4,3,1,1
83,2026-03-10 08:06:46+01:00,2026-03-10 08:06:46+01:00,2026-03-10,2,2,2,5,2,2-2-2-5-2,4,3,1,1
84,2026-03-10 08:06:47+01:00,2026-03-10 08:06:47+01:00,2026-03-10,5,2,2,4,2,5-2-2-4-2,4,3,1,1
85,2026-03-10 08:06:48+01:00,2026-03-10 08:07:32+01:00,2026-03-10,4,2,2,4,2,4-2-2-4-2,4,3,45,45
86,2026-03-10 08:07:33+01:00,2026-03-10 08:07:34+01:00,2026-03-10,3,2,2,4,2,3-2-2-4-2,1,3,2,2
87,2026-03-10 08:07:35+01:00,2026-03-10 08:07:35+01:00,2026-03-10,3,2,2,3,2,3-2-2-3-2,1,3,1,1
88,2026-03-10 08:07:36+01:00,2026-03-10 08:07:37+01:00,2026-03-10,2,2,2,3,2,2-2-2-3-2,1,3,2,2
89,2026-03-10 08:07:38+01:00,2026-03-10 08:07:39+01:00,2026-03-10,2,2,2,2,2,2-2-2-2-2,1,3,2,2
90,2026-03-10 08:07:40+01:00,2026-03-10 08:07:40+01:00,2026-03-10,2,2,2,2,5,2-2-2-2-5,1,3,1,1
91,2026-03-10 08:07:41+01:00,2026-03-10 08:07:50+01:00,2026-03-10,2,2,2,2,4,2-2-2-2-4,1,3,10,10
92,2026-03-10 08:07:51+01:00,2026-03-10 08:07:53+01:00,2026-03-10,2,2,2,2,3,2-2-2-2-3,2,3,3,3
93,2026-03-10 08:07:54+01:00,2026-03-10 08:07:57+01:00,2026-03-10,2,2,2,2,2,2-2-2-2-2,2,3,4,4
94,2026-03-10 08:07:58+01:00,2026-03-10 08:07:58+01:00,2026-03-10,2,5,5,2,2,2-5-5-2-2,2,3,1,1
95,2026-03-10 08:07:59+01:00,2026-03-10 08:08:12+01:00,2026-03-10,2,4,4,2,2,2-4-4-2-2,2,3,14,14
96,2026-03-10 08:08:13+01:00,2026-03-10 08:08:15+01:00,2026-03-10,2,3,4,2,2,2-3-4-2-2,4,3,3,3
97,2026-03-10 08:08:16+01:00,2026-03-10 08:08:18+01:00,2026-03-10,2,2,3,2,2,2-2-3-2-2,4,3,3,3
98,2026-03-10 08:08:19+01:00,2026-03-10 08:08:19+01:00,2026-03-10,2,2,2,2,2,2-2-2-2-2,4,3,1,1
99,2026-03-10 08:08:20+01:00,2026-03-10 08:08:20+01:00,2026-03-10,2,2,2,5,2,2-2-2-5-2,4,3,1,1
100,2026-03-10 08:08:21+01:00,2026-03-10 08:08:21+01:00,2026-03-10,5,2,2,4,2,5-2-2-4-2,4,3,1,1
101,2026-03-10 08:08:22+01:00,2026-03-10 08:09:02+01:00,2026-03-10,4,2,2,4,2,4-2-2-4-2,4,3,41,41
102,2026-03-10 08:09:03+01:00,2026-03-10 08:09:04+01:00,2026-03-10,3,2,2,4,2,3-2-2-4-2,1,3,2,2
103,2026-03-10 08:09:05+01:00,2026-03-10 08:09:05+01:00,2026-03-10,3,2,2,3,2,3-2-2-3-2,1,3,1,1
104,2026-03-10 08:09:06+01:00,2026-03-10 08:09:07+01:00,2026-03-10,2,2,2,3,2,2-2-2-3-2,1,3,2,2
105,2026-03-10 08:09:08+01:00,2026-03-10 08:09:09+01:00,2026-03-10,2,2,2,2,2,2-2-2-2-2,1,3,2,2
106,2026-03-10 08:09:10+01:00,2026-03-10 08:09:10+01:00,2026-03-10,2,2,2,2,5,2-2-2-2-5,1,3,1,1
107,2026-03-10 08:09:11+01:00,2026-03-10 08:09:15+01:00,2026-03-10,2,2,2,2,4,2-2-2-2-4,1,3,5,5
108,2026-03-10 08:09:16+01:00,2026-03-10 08:09:18+01:00,2026-03-10,2,2,2,2,3,2-2-2-2-3,2,3,3,3
109,2026-03-10 08:09:19+01:00,2026-03-10 08:09:22+01:00,2026-03-10,2,2,2,2,2,2-2-2-2-2,2,3,4,4
110,2026-03-10 08:09:23+01:00,2026-03-10 08:09:23+01:00,2026-03-10,2,5,5,2,2,2-5-5-2-2,2,3,1,1
111,2026-03-10 08:09:24+01:00,2026-03-10 08:09:35+01:00,2026-03-10,2,4,4,2,2,2-4-4-2-2,2,3,12,12
112,2026-03-10 08:09:36+01:00,2026-03-10 08:09:38+01:00,2026-03-10,2,3,4,2,2,2-3-4-2-2,4,3,3,3
113,2026-03-10 08:09:39+01:00,2026-03-10 08:09:41+01:00,2026-03-10,2,2,3,2,2,2-2-3-2-2,4,3,3,3
114,2026-03-10 08:09:42+01:00,2026-03-10 08:09:42+01:00,2026-03-10,2,2,2,2,2,2-2-2-2-2,4,3,1,1
115,2026-03-10 08:09:43+01:00,2026-03-10 08:09:43+01:00,2026-03-10,2,2,2,5,2,2-2-2-5-2,4,3,1,1
116,2026-03-10 08:09:44+01:00,2026-03-10 08:09:44+01:00,2026-03-10,5,2,2,4,2,5-2-2-4-2,4,3,1,1
117,2026-03-10 08:09:45+01:00,2026-03-10 08:10:32+01:00,2026-03-10,4,2,2,4,2,4-2-2-4-2,4,3,48,48
118,2026-03-10 08:10:33+01:00,2026-03-10 08:10:34+01:00,2026-03-10,3,2,2,4,2,3-2-2-4-2,1,3,2,2
