intersection,mean_GEH,max_GEH,total_real,total_sim,GEH<5 (%)
LD-LSA1,1.9505094763277697,10.328783117277691,3020,2599.0,86.36363636363636
LD-LSA10,2.0817103299337503,4.950737714883371,1091,1102.0,100.0
LD-LSA16,1.7398338461473914,6.516946235415336,2013,1967.0,97.72727272727273
LD-LSA9,1.880367565228189,5.850457084815324,1043,999.0,93.75
