timestamp,west_left_upstream,west_straight_right_upstream,west_total_upstream,west_left_stopline,west_straight_right_stopline,west_total_stopline_check,south_straight_failed,south_straight_alt_failed,south_total_failed_check,east_left_upstream,east_straight_upstream,east_straight_right_upstream,east_right_inferred_upstream,east_total_upstream,east_right_stopline,east_straight1_stopline,east_straight2_stopline,east_left_stopline_failed,east_straight_total_stopline_check,east_total_stopline_check,north_left_upstream,north_left_stopline,north_straight_stopline,north_right_stopline,north_straight_right_failed,north_total_mixed,north_total_stopline_check
2025-09-01 16:45:00+00:00,95,133,228,35,123,158,0,0,0,42,108,146,38,188,65,57,76,0,133,198,67,55,19,46,0,132,120
2025-09-01 17:00:00+00:00,58,118,176,53,108,161,0,0,0,29,108,150,42,179,89,53,77,0,130,219,58,44,16,43,0,117,103
2025-09-01 17:15:00+00:00,85,107,192,32,95,127,0,0,0,34,96,110,14,144,47,44,63,0,107,154,61,42,16,38,0,115,96
2025-09-01 17:30:00+00:00,94,95,189,30,83,113,0,0,0,20,79,110,31,130,53,40,57,0,97,150,53,44,15,32,0,100,91
2025-09-01 17:45:00+00:00,85,99,184,30,89,119,0,0,0,16,80,98,18,114,46,36,63,0,99,145,54,45,18,32,0,104,95
2025-09-01 18:00:00+00:00,79,84,163,37,80,117,0,0,0,26,81,102,21,128,46,37,51,0,88,134,48,35,10,35,0,93,80
2025-09-01 18:15:00+00:00,80,95,175,37,70,107,0,0,0,19,72,91,19,110,38,39,42,0,81,119,46,32,12,32,0,90,76
2025-09-01 18:30:00+00:00,66,82,148,34,71,105,0,0,0,20,72,99,27,119,38,32,44,0,76,114,33,27,4,25,0,62,56
2025-09-01 18:45:00+00:00,57,64,121,21,56,77,0,0,0,15,63,82,19,97,43,26,42,0,68,111,50,39,4,22,0,76,65
2025-09-01 19:00:00+00:00,61,63,124,29,47,76,0,0,0,25,63,73,10,98,35,35,32,0,67,102,38,34,6,19,0,63,59
2025-09-01 19:15:00+00:00,45,48,93,15,43,58,0,0,0,21,60,76,16,97,41,25,28,0,53,94,44,30,10,29,0,83,69
2025-09-01 19:30:00+00:00,66,63,129,27,54,81,0,0,0,17,53,71,18,88,38,24,32,0,56,94,32,27,6,25,0,63,58
2025-09-01 19:45:00+00:00,38,38,76,11,30,41,0,0,0,14,55,72,17,86,26,30,28,0,58,84,25,23,3,17,0,45,43
2025-09-01 20:00:00+00:00,40,41,81,10,35,45,0,0,0,16,65,80,15,96,33,30,32,0,62,95,28,20,12,15,0,55,47
2025-09-01 20:15:00+00:00,24,32,56,6,28,34,0,0,0,9,50,63,13,72,23,25,27,0,52,75,17,11,5,14,0,36,30
2025-09-01 20:30:00+00:00,29,32,61,9,27,36,0,0,0,5,34,38,4,43,14,15,24,0,39,53,20,13,3,10,0,33,26
2025-09-01 20:45:00+00:00,24,25,49,5,24,29,0,0,0,9,26,32,6,41,11,13,14,0,27,38,14,13,1,8,0,23,22
2025-09-01 21:00:00+00:00,28,29,57,7,23,30,0,0,0,10,25,28,3,38,13,12,11,0,23,36,17,12,0,8,0,25,20
2025-09-01 21:15:00+00:00,25,27,52,7,21,28,0,0,0,8,27,40,13,48,12,18,13,0,31,43,7,3,4,6,0,17,13
2025-09-01 21:30:00+00:00,15,15,30,5,12,17,0,0,0,9,33,30,0,39,11,10,17,0,27,38,10,6,3,5,0,18,14
2025-09-01 21:45:00+00:00,19,14,33,9,10,19,0,0,0,2,5,11,6,13,5,6,3,0,9,14,15,9,1,6,0,22,16
2025-09-01 22:00:00+00:00,15,14,29,5,11,16,0,0,0,2,12,12,0,14,2,5,8,0,13,15,5,4,1,1,0,7,6
2025-09-01 22:15:00+00:00,11,8,19,4,7,11,0,0,0,3,12,14,2,17,6,4,5,0,9,15,5,4,0,3,0,8,7
2025-09-01 22:30:00+00:00,6,7,13,1,6,7,0,0,0,4,8,8,0,12,2,6,3,0,9,11,4,2,0,2,0,6,4
2025-09-01 22:45:00+00:00,10,7,17,3,6,9,0,0,0,2,7,7,0,9,3,3,4,0,7,10,3,1,0,4,0,7,5
2025-09-01 23:00:00+00:00,9,8,17,0,8,8,0,0,0,0,5,7,2,7,0,5,5,0,10,10,1,0,0,3,0,4,3
2025-09-01 23:15:00+00:00,4,3,7,1,2,3,0,0,0,1,6,9,3,10,0,7,6,0,13,13,2,2,0,0,0,2,2
2025-09-01 23:30:00+00:00,11,10,21,2,9,11,0,0,0,2,4,5,1,7,3,2,1,0,3,6,4,3,0,2,0,6,5
2025-09-01 23:45:00+00:00,4,4,8,0,4,4,0,0,0,1,9,14,5,15,4,9,1,0,10,14,5,2,0,1,0,6,3
2025-09-02 00:00:00+00:00,4,3,7,1,3,4,0,0,0,0,6,9,3,9,3,3,3,0,6,9,1,1,1,1,0,3,3
2025-09-02 00:15:00+00:00,2,2,4,0,2,2,0,0,0,0,5,4,0,4,2,1,2,0,3,5,2,0,0,2,0,4,2
2025-09-02 00:30:00+00:00,3,3,6,1,3,4,0,0,0,0,1,1,0,1,1,0,0,0,0,1,1,1,2,0,0,3,3
2025-09-02 00:45:00+00:00,2,2,4,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1
2025-09-02 01:00:00+00:00,1,3,4,0,3,3,0,0,0,0,3,4,1,4,2,1,1,0,2,4,6,4,0,1,0,7,5
2025-09-02 01:15:00+00:00,4,4,8,3,1,4,0,0,0,1,3,2,0,3,1,0,2,0,2,3,2,1,0,2,0,4,3
2025-09-02 01:30:00+00:00,6,5,11,1,4,5,0,0,0,0,3,3,0,3,1,1,1,0,2,3,3,3,0,0,0,3,3
2025-09-02 01:45:00+00:00,6,5,11,1,35,36,0,0,0,1,6,6,0,7,1,2,4,0,6,7,4,4,0,2,0,6,6
2025-09-02 02:00:00+00:00,7,8,15,1,8,9,0,0,0,1,4,3,0,4,0,1,2,0,3,3,2,2,0,1,0,3,3
2025-09-02 02:15:00+00:00,8,11,19,4,5,9,0,0,0,0,5,7,2,7,4,4,1,0,5,9,5,2,0,0,0,5,2
2025-09-02 02:30:00+00:00,22,21,43,6,19,25,0,0,0,0,6,6,0,6,3,3,1,0,4,7,4,3,0,3,0,7,6
2025-09-02 02:45:00+00:00,17,21,38,6,18,24,0,0,0,1,7,11,4,12,3,5,4,0,9,12,12,10,0,3,0,15,13
2025-09-02 03:00:00+00:00,25,30,55,8,22,30,0,0,0,2,11,15,4,17,8,4,4,0,8,16,17,11,0,5,0,22,16
2025-09-02 03:15:00+00:00,41,52,93,16,43,59,0,0,0,4,8,8,0,12,5,3,0,0,3,8,13,9,0,5,0,18,14
2025-09-02 03:30:00+00:00,59,63,122,18,48,66,0,0,0,6,29,34,5,40,17,11,16,0,27,44,30,19,1,13,0,44,33
2025-09-02 03:45:00+00:00,58,70,128,19,64,83,0,0,0,8,25,35,10,43,16,16,9,0,25,41,32,30,3,8,0,43,41
2025-09-02 04:00:00+00:00,56,63,119,19,52,71,0,0,0,13,39,40,1,53,12,14,25,0,39,51,23,145,5,15,0,43,165
2025-09-02 04:15:00+00:00,78,83,161,24,76,100,0,0,0,5,19,34,15,39,13,18,9,0,27,40,27,27,2,9,0,38,38
2025-09-02 04:30:00+00:00,96,139,235,30,120,150,0,0,0,19,57,67,10,86,26,29,27,0,56,82,29,21,6,11,0,46,38
2025-09-02 04:45:00+00:00,104,140,244,30,136,166,0,0,0,27,68,83,15,110,34,37,46,0,83,117,43,37,11,18,0,72,66
2025-09-02 05:00:00+00:00,109,156,265,32,162,194,0,0,0,27,78,107,29,134,39,49,46,0,95,134,58,48,8,25,0,91,81
2025-09-02 05:15:00+00:00,65,168,233,36,169,205,0,0,0,43,98,122,24,165,41,70,64,0,134,175,56,43,16,33,0,105,92
2025-09-02 05:30:00+00:00,63,146,209,37,184,221,0,0,0,45,128,156,28,201,53,93,106,0,199,252,72,63,20,44,0,136,127
2025-09-02 05:45:00+00:00,77,206,283,35,223,258,0,0,0,42,120,174,54,216,53,96,96,0,192,245,72,66,22,45,0,139,133
2025-09-02 06:00:00+00:00,46,149,195,42,172,214,0,0,0,40,110,155,45,195,65,71,85,0,156,221,72,60,15,32,0,119,107
2025-09-02 06:15:00+00:00,79,162,241,42,160,202,0,0,0,36,94,140,46,176,59,59,69,0,128,187,71,75,26,33,0,130,134
2025-09-02 06:30:00+00:00,109,160,269,35,149,184,0,0,0,35,100,137,37,172,63,59,72,0,131,194,67,68,16,29,0,112,113
2025-09-02 06:45:00+00:00,82,150,232,38,148,186,0,0,0,38,118,162,44,200,67,76,82,0,158,225,73,65,25,28,0,126,118
2025-09-02 07:00:00+00:00,104,164,268,30,161,191,0,0,0,34,109,130,21,164,64,44,63,0,107,171,66,53,15,28,0,109,96
2025-09-02 07:15:00+00:00,58,157,215,38,157,195,0,0,0,33,94,156,62,189,80,53,69,0,122,202,67,59,27,27,0,121,113
2025-09-02 07:30:00+00:00,65,160,225,46,164,210,0,0,0,41,112,140,28,181,66,53,80,0,133,199,82,71,15,35,0,132,121
2025-09-02 07:45:00+00:00,53,142,195,34,157,191,0,0,0,32,114,171,57,203,91,63,75,0,138,229,71,65,21,38,0,130,124
2025-09-02 08:00:00+00:00,37,162,199,38,167,205,0,0,0,32,117,154,37,186,80,48,76,0,124,204,79,71,9,34,0,122,114
2025-09-02 08:15:00+00:00,41,171,212,42,169,211,0,0,0,35,105,161,56,196,94,56,72,0,128,222,66,61,21,38,0,125,120
