intersection,timestamp,detector_id,count,occupancy,velocity
LDLSA1,2025-09-01 00:00:00+00:00,7,2,4,0
LDLSA1,2025-09-01 00:00:00+00:00,8,6,0,0
LDLSA1,2025-09-01 00:00:00+00:00,9,4,4,0
LDLSA1,2025-09-01 00:00:00+00:00,10,5,0,0
LDLSA1,2025-09-01 00:00:00+00:00,11,0,0,0
LDLSA1,2025-09-01 00:00:00+00:00,12,0,0,0
LDLSA1,2025-09-01 00:00:00+00:00,13,2,0,0
LDLSA1,2025-09-01 00:00:00+00:00,14,5,0,0
LDLSA1,2025-09-01 00:00:00+00:00,15,0,0,0
LDLSA1,2025-09-01 00:00:00+00:00,16,0,0,0
LDLSA1,2025-09-01 00:00:00+00:00,17,0,0,0
LDLSA1,2025-09-01 00:00:00+00:00,18,0,0,0
LDLSA1,2025-09-01 00:00:00+00:00,19,0,0,0
LDLSA1,2025-09-01 00:00:00+00:00,20,0,0,0
LDLSA1,2025-09-01 00:00:00+00:00,21,0,0,0
LDLSA1,2025-09-01 00:00:00+00:00,22,0,0,0
LDLSA1,2025-09-01 00:00:00+00:00,23,5,1,0
LDLSA1,2025-09-01 00:00:00+00:00,24,5,0,0
LDLSA1,2025-09-01 00:00:00+00:00,25,0,100,0
LDLSA1,2025-09-01 00:00:00+00:00,26,0,0,0
LDLSA1,2025-09-01 00:00:00+00:00,27,1,0,0
LDLSA1,2025-09-01 00:00:00+00:00,28,1,0,0
LDLSA1,2025-09-01 00:00:00+00:00,29,0,100,0
LDLSA1,2025-09-01 00:00:00+00:00,30,1,0,0
LDLSA1,2025-09-01 00:00:00+00:00,31,0,0,0
LDLSA1,2025-09-01 00:00:00+00:00,32,0,0,0
LDLSA1,2025-09-01 00:00:00+00:00,33,0,0,0
LDLSA1,2025-09-01 00:00:00+00:00,34,0,0,0
LDLSA1,2025-09-01 00:00:00+00:00,35,0,0,0
LDLSA1,2025-09-01 00:00:00+00:00,36,0,0,0
LDLSA1,2025-09-01 00:00:00+00:00,37,0,0,0
LDLSA1,2025-09-01 00:00:00+00:00,38,0,0,0
LDLSA1,2025-09-01 00:00:00+00:00,39,1,0,0
LDLSA1,2025-09-01 00:00:00+00:00,40,0,0,0
LDLSA1,2025-09-01 00:00:00+00:00,41,0,0,0
LDLSA1,2025-09-01 00:00:00+00:00,42,0,0,0
LDLSA1,2025-09-01 00:00:00+00:00,43,0,0,0
LDLSA1,2025-09-01 00:00:00+00:00,44,0,0,0
LDLSA1,2025-09-01 00:00:00+00:00,45,0,0,0
LDLSA1,2025-09-01 00:00:00+00:00,46,0,0,0
LDLSA1,2025-09-01 00:00:00+00:00,47,0,0,0
LDLSA1,2025-09-01 00:00:00+00:00,48,0,0,0
LDLSA1,2025-09-01 00:15:00+00:00,7,3,0,0
LDLSA1,2025-09-01 00:15:00+00:00,8,6,0,0
LDLSA1,2025-09-01 00:15:00+00:00,9,6,1,0
LDLSA1,2025-09-01 00:15:00+00:00,10,6,0,0
LDLSA1,2025-09-01 00:15:00+00:00,11,0,0,0
LDLSA1,2025-09-01 00:15:00+00:00,12,0,0,0
LDLSA1,2025-09-01 00:15:00+00:00,13,2,0,0
LDLSA1,2025-09-01 00:15:00+00:00,14,3,0,0
LDLSA1,2025-09-01 00:15:00+00:00,15,0,0,0
LDLSA1,2025-09-01 00:15:00+00:00,16,0,0,0
LDLSA1,2025-09-01 00:15:00+00:00,17,0,0,0
LDLSA1,2025-09-01 00:15:00+00:00,18,0,0,0
LDLSA1,2025-09-01 00:15:00+00:00,19,0,0,0
LDLSA1,2025-09-01 00:15:00+00:00,20,0,0,0
LDLSA1,2025-09-01 00:15:00+00:00,21,0,0,0
LDLSA1,2025-09-01 00:15:00+00:00,22,0,0,0
LDLSA1,2025-09-01 00:15:00+00:00,23,3,0,0
LDLSA1,2025-09-01 00:15:00+00:00,24,3,0,0
LDLSA1,2025-09-01 00:15:00+00:00,25,0,100,0
LDLSA1,2025-09-01 00:15:00+00:00,26,0,0,0
LDLSA1,2025-09-01 00:15:00+00:00,27,0,0,0
LDLSA1,2025-09-01 00:15:00+00:00,28,0,0,0
LDLSA1,2025-09-01 00:15:00+00:00,29,0,100,0
LDLSA1,2025-09-01 00:15:00+00:00,30,0,0,0
LDLSA1,2025-09-01 00:15:00+00:00,31,0,0,0
LDLSA1,2025-09-01 00:15:00+00:00,32,0,0,0
LDLSA1,2025-09-01 00:15:00+00:00,33,0,0,0
LDLSA1,2025-09-01 00:15:00+00:00,34,0,0,0
LDLSA1,2025-09-01 00:15:00+00:00,35,0,0,0
LDLSA1,2025-09-01 00:15:00+00:00,36,0,0,0
LDLSA1,2025-09-01 00:15:00+00:00,37,0,0,0
LDLSA1,2025-09-01 00:15:00+00:00,38,0,0,0
LDLSA1,2025-09-01 00:15:00+00:00,39,1,0,0
LDLSA1,2025-09-01 00:15:00+00:00,40,1,0,0
