timestamp,west_left,west_straight,west_right,west_total,east_total,north_total,south_total,corridor_out
2025-09-16 00:00:00+00:00,0,1,0,1,3,2,7,4
2025-09-16 00:15:00+00:00,1,0,0,1,2,1,0,0
2025-09-16 00:30:00+00:00,0,0,0,0,3,4,3,3
2025-09-16 00:45:00+00:00,0,0,0,0,1,0,1,0
2025-09-16 01:00:00+00:00,0,1,0,1,2,0,2,3
2025-09-16 01:15:00+00:00,0,0,0,0,8,0,0,1
2025-09-16 01:30:00+00:00,0,2,0,2,3,2,8,9
2025-09-16 01:45:00+00:00,0,2,0,2,0,2,9,8
2025-09-16 02:00:00+00:00,0,4,0,4,2,2,7,4
2025-09-16 02:15:00+00:00,0,1,1,2,7,0,17,11
2025-09-16 02:30:00+00:00,1,4,0,5,3,1,24,14
2025-09-16 02:45:00+00:00,1,5,2,8,13,4,20,20
2025-09-16 03:00:00+00:00,0,12,2,14,7,3,17,23
2025-09-16 03:15:00+00:00,1,16,3,20,9,8,30,40
2025-09-16 03:30:00+00:00,2,29,0,31,23,6,32,58
2025-09-16 03:45:00+00:00,3,42,0,45,23,7,50,84
2025-09-16 04:00:00+00:00,3,29,4,36,31,10,46,65
2025-09-16 04:15:00+00:00,5,32,0,37,38,10,77,83
2025-09-16 04:30:00+00:00,10,61,0,71,60,30,104,143
2025-09-16 04:45:00+00:00,9,65,0,74,68,19,83,145
2025-09-16 05:00:00+00:00,10,64,0,74,91,31,97,143
2025-09-16 05:15:00+00:00,6,84,0,90,124,37,120,169
2025-09-16 05:30:00+00:00,12,65,0,77,164,37,118,148
2025-09-16 05:45:00+00:00,4,56,0,60,141,35,120,132
2025-09-16 06:00:00+00:00,9,72,0,81,117,35,103,163
2025-09-16 06:15:00+00:00,14,51,0,65,111,39,111,142
2025-09-16 06:30:00+00:00,10,70,0,80,121,30,121,151
2025-09-16 06:45:00+00:00,15,59,0,74,101,43,99,142
2025-09-16 07:00:00+00:00,13,56,0,69,93,42,106,122
2025-09-16 07:15:00+00:00,15,70,0,85,111,36,112,141
2025-09-16 07:30:00+00:00,6,50,0,56,106,50,106,151
2025-09-16 07:45:00+00:00,17,58,0,75,133,46,120,159
2025-09-16 08:00:00+00:00,8,79,2,89,104,41,97,135
2025-09-16 08:15:00+00:00,6,69,0,75,118,43,131,127
2025-09-16 08:30:00+00:00,11,66,0,77,142,55,128,138
2025-09-16 08:45:00+00:00,6,63,0,69,137,40,136,156
2025-09-16 09:00:00+00:00,8,54,0,62,123,50,96,132
2025-09-16 09:15:00+00:00,8,85,0,93,149,48,119,150
2025-09-16 09:30:00+00:00,11,67,0,78,129,38,117,135
2025-09-16 09:45:00+00:00,13,68,0,81,124,59,118,136
2025-09-16 10:00:00+00:00,8,58,0,66,129,56,113,134
2025-09-16 10:15:00+00:00,10,63,0,73,136,51,91,119
2025-09-16 10:30:00+00:00,9,74,0,83,138,44,97,133
2025-09-16 10:45:00+00:00,9,63,0,72,135,45,111,139
2025-09-16 11:00:00+00:00,7,51,0,58,150,52,96,119
2025-09-16 11:15:00+00:00,7,58,0,65,144,53,101,121
2025-09-16 11:30:00+00:00,9,69,0,78,146,48,103,147
2025-09-16 11:45:00+00:00,11,71,0,82,157,39,122,156
2025-09-16 12:00:00+00:00,13,66,0,79,141,54,107,127
2025-09-16 12:15:00+00:00,11,71,0,82,144,55,121,150
2025-09-16 12:30:00+00:00,8,77,0,85,141,53,106,153
2025-09-16 12:45:00+00:00,14,72,0,86,147,40,115,163
2025-09-16 13:00:00+00:00,11,45,0,56,188,39,139,152
2025-09-16 13:15:00+00:00,14,45,5,64,177,50,125,147
2025-09-16 13:30:00+00:00,9,59,0,68,194,48,116,158
2025-09-16 13:45:00+00:00,7,66,0,73,163,39,138,155
2025-09-16 14:00:00+00:00,12,63,0,75,201,54,120,142
2025-09-16 14:15:00+00:00,15,42,0,57,205,44,111,135
2025-09-16 14:30:00+00:00,10,67,0,77,190,29,116,145
2025-09-16 14:45:00+00:00,11,74,0,85,198,30,138,151
2025-09-16 15:00:00+00:00,8,72,0,80,220,74,134,150
2025-09-16 15:15:00+00:00,7,53,0,60,161,34,109,119
2025-09-16 15:30:00+00:00,7,68,0,75,150,25,93,139
2025-09-16 15:45:00+00:00,6,72,0,78,133,39,110,129
2025-09-16 16:00:00+00:00,11,44,0,55,175,64,117,118
2025-09-16 16:15:00+00:00,10,50,0,60,123,62,110,125
2025-09-16 16:30:00+00:00,8,39,0,47,123,52,103,100
2025-09-16 16:45:00+00:00,9,53,0,62,132,52,126,129
2025-09-16 17:00:00+00:00,4,49,0,53,97,49,96,117
2025-09-16 17:15:00+00:00,10,63,0,73,102,47,87,117
2025-09-16 17:30:00+00:00,6,35,0,41,88,45,59,81
2025-09-16 17:45:00+00:00,11,29,0,40,79,24,87,89
2025-09-16 18:00:00+00:00,6,37,0,43,54,27,63,74
2025-09-16 18:15:00+00:00,7,32,0,39,61,27,65,68
2025-09-16 18:30:00+00:00,6,17,4,27,64,17,58,53
2025-09-16 18:45:00+00:00,2,26,6,34,67,18,57,60
2025-09-16 19:00:00+00:00,2,21,6,29,60,24,53,56
2025-09-16 19:15:00+00:00,6,25,3,34,53,16,38,56
2025-09-16 19:30:00+00:00,7,32,0,39,49,15,41,55
2025-09-16 19:45:00+00:00,3,23,3,29,35,27,33,41
2025-09-16 20:00:00+00:00,4,12,4,20,41,22,35,38
2025-09-16 20:15:00+00:00,1,10,1,12,48,17,25,28
2025-09-16 20:30:00+00:00,1,3,0,4,26,7,11,11
