date,cluster,daily_total
2025-09-01,1,3805.0
2025-09-02,1,4174.0
2025-09-03,1,4375.0
2025-09-04,1,4013.0
2025-09-05,1,4560.0
2025-09-06,1,4559.0
2025-09-07,1,3814.0
2025-09-08,1,3594.0
2025-09-09,1,3464.0
2025-09-10,1,4214.0
2025-09-11,0,4349.0
2025-09-12,1,4464.0
2025-09-13,1,4141.0
2025-09-14,1,3706.0
2025-09-15,1,3795.0
2025-09-16,1,3989.0
2025-09-17,1,4076.0
2025-09-18,1,4720.0
