date,cluster,daily_total
2025-09-01,1,4238.0
2025-09-02,1,4429.0
2025-09-03,1,4316.0
2025-09-04,1,4379.0
2025-09-05,1,4730.0
2025-09-06,0,4095.0
2025-09-07,0,3576.0
2025-09-08,1,3863.0
2025-09-09,1,3764.0
2025-09-10,1,4247.0
2025-09-11,1,4058.0
2025-09-12,1,4501.0
2025-09-13,0,3923.0
2025-09-15,1,4123.0
2025-09-16,1,4430.0
2025-09-17,1,4204.0
2025-09-18,1,4530.0
