scenario,lsa,approach,signal_group,analysis_begin_s,analysis_end_s,bin_no,bin_label,sim_count_15min,sim_flow_mean,sim_occupancy_mean,n_detectors_used,sim_count_hourly_equivalent
weekday_evening,LSA16,south,K1,900.0,1800.0,2,15-30,86.0,114.66666666666667,11.363333333333332,3,344.0
weekday_evening,LSA16,south,K1,1800.0,2700.0,3,30-45,76.0,100.0,23.84,3,304.0
weekday_evening,LSA16,south,K1,2700.0,3600.0,4,45-60,40.0,53.333333333333336,33.75,3,160.0
weekday_evening,LSA16,west,K2,0.0,900.0,1,00-15,73.0,144.0,39.765,2,292.0
weekday_evening,LSA16,west,K2,900.0,1800.0,2,15-30,64.0,130.0,31.555,2,256.0
weekday_evening,LSA16,west,K2,1800.0,2700.0,3,30-45,75.0,146.0,46.015,2,300.0
weekday_evening,LSA16,west,K2,2700.0,3600.0,4,45-60,54.0,110.0,62.815,2,216.0
weekday_evening,LSA9,east,K3,0.0,900.0,1,00-15,136.0,262.0,17.935,2,544.0
weekday_evening,LSA9,east,K3,900.0,1800.0,2,15-30,126.0,246.0,11.495000000000001,2,504.0
weekday_evening,LSA9,east,K3,1800.0,2700.0,3,30-45,108.0,206.0,15.420000000000002,2,432.0
weekday_evening,LSA9,east,K3,2700.0,3600.0,4,45-60,135.0,262.0,17.73,2,540.0
weekday_evening,LSA9,north_west,K2,0.0,900.0,1,00-15,33.0,64.0,35.83,2,132.0
weekday_evening,LSA9,north_west,K2,900.0,1800.0,2,15-30,43.0,82.0,51.709999999999994,2,172.0
weekday_evening,LSA9,north_west,K2,1800.0,2700.0,3,30-45,46.0,94.0,43.870000000000005,2,184.0
weekday_evening,LSA9,north_west,K2,2700.0,3600.0,4,45-60,35.0,70.0,35.17,2,140.0
weekday_evening,LSA9,south,K4,0.0,900.0,1,00-15,11.0,44.0,25.65,1,44.0
weekday_evening,LSA9,south,K4,900.0,1800.0,2,15-30,11.0,48.0,29.81,1,44.0
weekday_evening,LSA9,south,K4,1800.0,2700.0,3,30-45,14.0,56.0,41.03,1,56.0
weekday_evening,LSA9,south,K4,2700.0,3600.0,4,45-60,11.0,44.0,25.97,1,44.0
weekday_evening,LSA9,west,K1,0.0,900.0,1,00-15,112.0,220.0,74.32499999999999,2,448.0
weekday_evening,LSA9,west,K1,900.0,1800.0,2,15-30,103.0,208.0,76.465,2,412.0
weekday_evening,LSA9,west,K1,1800.0,2700.0,3,30-45,97.0,194.0,77.925,2,388.0
weekday_evening,LSA9,west,K1,2700.0,3600.0,4,45-60,65.0,128.0,63.505,2,260.0
weekday_morning,LSA1,east,K4,0.0,900.0,1,00-15,119.0,236.0,43.08,2,476.0
weekday_morning,LSA1,east,K4,900.0,1800.0,2,15-30,119.0,234.0,40.885000000000005,2,476.0
weekday_morning,LSA1,east,K4,1800.0,2700.0,3,30-45,102.0,202.0,39.28,2,408.0
