scenario,lsa,approach,signal_group,analysis_begin_s,analysis_end_s,bin_no,bin_label,sim_count_15min,sim_flow_mean,sim_occupancy_mean,n_detectors_used,sim_count_hourly_equivalent,cycle_time_s,green_time_s,green_share,demand_vph,capacity_vph,v_c_ratio,status,comparison_note
weekday_evening,LSA1,west,K2,0.0,900.0,1,00-15,79.0,316.0,41.78,1,316.0,83.0,36.0,0.4337349397590361,316.0,780.7228915662649,0.40475308641975316,below capacity,simulation-side only; no direct real saturation comparison
weekday_evening,LSA1,west,K2,900.0,1800.0,2,15-30,67.0,272.0,34.41,1,268.0,83.0,36.0,0.4337349397590361,268.0,780.7228915662649,0.34327160493827164,below capacity,simulation-side only; no direct real saturation comparison
weekday_evening,LSA1,west,K2,1800.0,2700.0,3,30-45,70.0,280.0,37.73,1,280.0,83.0,36.0,0.4337349397590361,280.0,780.7228915662649,0.35864197530864206,below capacity,simulation-side only; no direct real saturation comparison
weekday_evening,LSA1,west,K2,2700.0,3600.0,4,45-60,68.0,272.0,34.27,1,272.0,83.0,36.0,0.4337349397590361,272.0,780.7228915662649,0.34839506172839513,below capacity,simulation-side only; no direct real saturation comparison
weekday_evening,LSA10,east,K4,0.0,900.0,1,00-15,132.0,260.0,16.595,2,528.0,84.0,35.0,0.4166666666666667,528.0,750.0,0.704,below capacity,usable for simulation saturation comparison
weekday_evening,LSA10,east,K4,900.0,1800.0,2,15-30,119.0,238.0,10.575,2,476.0,84.0,35.0,0.4166666666666667,476.0,750.0,0.6346666666666667,below capacity,usable for simulation saturation comparison
weekday_evening,LSA10,east,K4,1800.0,2700.0,3,30-45,116.0,232.0,10.435,2,464.0,84.0,35.0,0.4166666666666667,464.0,750.0,0.6186666666666667,below capacity,usable for simulation saturation comparison
weekday_evening,LSA10,east,K4,2700.0,3600.0,4,45-60,114.0,226.0,8.975,2,456.0,84.0,35.0,0.4166666666666667,456.0,750.0,0.608,below capacity,usable for simulation saturation comparison
weekday_evening,LSA10,north_east,K3,0.0,900.0,1,00-15,6.0,24.0,3.9,1,24.0,84.0,13.0,0.1547619047619047,24.0,278.5714285714285,0.08615384615384618,below capacity,usable for simulation saturation comparison
weekday_evening,LSA10,north_east,K3,900.0,1800.0,2,15-30,12.0,48.0,2.68,1,48.0,84.0,13.0,0.1547619047619047,48.0,278.5714285714285,0.17230769230769236,below capacity,usable for simulation saturation comparison
weekday_evening,LSA10,north_east,K3,1800.0,2700.0,3,30-45,4.0,16.0,0.5,1,16.0,84.0,13.0,0.1547619047619047,16.0,278.5714285714285,0.05743589743589745,below capacity,usable for simulation saturation comparison
weekday_evening,LSA10,north_east,K3,2700.0,3600.0,4,45-60,6.0,24.0,0.53,1,24.0,84.0,13.0,0.1547619047619047,24.0,278.5714285714285,0.08615384615384618,below capacity,usable for simulation saturation comparison
weekday_evening,LSA10,north_west,K2,0.0,900.0,1,00-15,28.0,54.0,14.665,2,112.0,84.0,13.0,0.1547619047619047,112.0,278.5714285714285,0.40205128205128216,below capacity,usable for simulation saturation comparison
weekday_evening,LSA10,north_west,K2,900.0,1800.0,2,15-30,29.0,60.0,11.455,2,116.0,84.0,13.0,0.1547619047619047,116.0,278.5714285714285,0.41641025641025653,below capacity,usable for simulation saturation comparison
weekday_evening,LSA10,north_west,K2,1800.0,2700.0,3,30-45,31.0,62.0,23.93,2,124.0,84.0,13.0,0.1547619047619047,124.0,278.5714285714285,0.4451282051282052,below capacity,usable for simulation saturation comparison
weekday_evening,LSA10,north_west,K2,2700.0,3600.0,4,45-60,21.0,42.0,3.78,2,84.0,84.0,13.0,0.1547619047619047,84.0,278.5714285714285,0.30153846153846164,below capacity,usable for simulation saturation comparison
weekday_evening,LSA10,south,K5,0.0,900.0,1,00-15,20.0,84.0,18.02,1,80.0,84.0,10.0,0.119047619047619,80.0,214.2857142857142,0.3733333333333335,below capacity,usable for simulation saturation comparison
weekday_evening,LSA10,south,K5,900.0,1800.0,2,15-30,18.0,72.0,25.32,1,72.0,84.0,10.0,0.119047619047619,72.0,214.2857142857142,0.33600000000000013,below capacity,usable for simulation saturation comparison
weekday_evening,LSA10,south,K5,1800.0,2700.0,3,30-45,24.0,92.0,29.39,1,96.0,84.0,10.0,0.119047619047619,96.0,214.2857142857142,0.4480000000000002,below capacity,usable for simulation saturation comparison
weekday_evening,LSA10,south,K5,2700.0,3600.0,4,45-60,18.0,76.0,32.42,1,72.0,84.0,10.0,0.119047619047619,72.0,214.2857142857142,0.33600000000000013,below capacity,usable for simulation saturation comparison
weekday_evening,LSA10,west,K1,0.0,900.0,1,00-15,122.0,488.0,19.71,1,488.0,84.0,35.0,0.4166666666666667,488.0,750.0,0.6506666666666666,below capacity,usable for simulation saturation comparison
weekday_evening,LSA10,west,K1,900.0,1800.0,2,15-30,96.0,384.0,20.67,1,384.0,84.0,35.0,0.4166666666666667,384.0,750.0,0.512,below capacity,usable for simulation saturation comparison
weekday_evening,LSA10,west,K1,1800.0,2700.0,3,30-45,88.0,348.0,74.05,1,352.0,84.0,35.0,0.4166666666666667,352.0,750.0,0.4693333333333333,below capacity,usable for simulation saturation comparison
weekday_evening,LSA10,west,K1,2700.0,3600.0,4,45-60,53.0,216.0,89.35,1,212.0,84.0,35.0,0.4166666666666667,212.0,750.0,0.2826666666666667,below capacity,usable for simulation saturation comparison
weekday_evening,LSA16,east,K4,0.0,900.0,1,00-15,151.0,298.0,22.130000000000003,2,604.0,86.0,51.0,0.5930232558139535,604.0,1067.4418604651164,0.565838779956427,below capacity,usable for simulation saturation comparison
weekday_evening,LSA16,east,K4,900.0,1800.0,2,15-30,135.0,274.0,15.01,2,540.0,86.0,51.0,0.5930232558139535,540.0,1067.4418604651164,0.5058823529411764,below capacity,usable for simulation saturation comparison
weekday_evening,LSA16,east,K4,1800.0,2700.0,3,30-45,147.0,294.0,15.09,2,588.0,86.0,51.0,0.5930232558139535,588.0,1067.4418604651164,0.5508496732026144,below capacity,usable for simulation saturation comparison
weekday_evening,LSA16,east,K4,2700.0,3600.0,4,45-60,137.0,274.0,18.46,2,548.0,86.0,51.0,0.5930232558139535,548.0,1067.4418604651164,0.5133769063180827,below capacity,usable for simulation saturation comparison
weekday_evening,LSA16,north,K3,0.0,900.0,1,00-15,54.0,110.0,3.16,2,216.0,86.0,22.0,0.2558139534883721,216.0,460.4651162790698,0.46909090909090906,below capacity,usable for simulation saturation comparison
weekday_evening,LSA16,north,K3,900.0,1800.0,2,15-30,52.0,104.0,5.245,2,208.0,86.0,22.0,0.2558139534883721,208.0,460.4651162790698,0.4517171717171717,below capacity,usable for simulation saturation comparison
weekday_evening,LSA16,north,K3,1800.0,2700.0,3,30-45,64.0,128.0,10.38,2,256.0,86.0,22.0,0.2558139534883721,256.0,460.4651162790698,0.555959595959596,below capacity,usable for simulation saturation comparison
weekday_evening,LSA16,north,K3,2700.0,3600.0,4,45-60,53.0,106.0,5.33,2,212.0,86.0,22.0,0.2558139534883721,212.0,460.4651162790698,0.46040404040404037,below capacity,usable for simulation saturation comparison
weekday_evening,LSA16,south,K1,0.0,900.0,1,00-15,104.0,141.33333333333334,11.343333333333334,3,416.0,86.0,22.0,0.2558139534883721,416.0,460.4651162790698,0.9034343434343434,near capacity,usable for simulation saturation comparison
weekday_evening,LSA16,south,K1,900.0,1800.0,2,15-30,86.0,114.66666666666669,11.363333333333332,3,344.0,86.0,22.0,0.2558139534883721,344.0,460.4651162790698,0.7470707070707071,below capacity,usable for simulation saturation comparison
weekday_evening,LSA16,south,K1,1800.0,2700.0,3,30-45,76.0,100.0,23.84,3,304.0,86.0,22.0,0.2558139534883721,304.0,460.4651162790698,0.6602020202020202,below capacity,usable for simulation saturation comparison
weekday_evening,LSA16,south,K1,2700.0,3600.0,4,45-60,40.0,53.333333333333336,33.75,3,160.0,86.0,22.0,0.2558139534883721,160.0,460.4651162790698,0.3474747474747475,below capacity,usable for simulation saturation comparison
weekday_evening,LSA16,west,K2,0.0,900.0,1,00-15,73.0,144.0,39.765,2,292.0,86.0,24.0,0.2790697674418604,292.0,502.3255813953487,0.5812962962962964,below capacity,usable for simulation saturation comparison
weekday_evening,LSA16,west,K2,900.0,1800.0,2,15-30,64.0,130.0,31.555,2,256.0,86.0,24.0,0.2790697674418604,256.0,502.3255813953487,0.5096296296296298,below capacity,usable for simulation saturation comparison
