scenario,lsa,approach,signal_group,total_sim_count_1h,mean_15min_count,max_15min_count,mean_demand_vph,max_demand_vph,cycle_time_s,green_time_s,green_share,capacity_vph,mean_v_c_ratio,max_v_c_ratio,n_bins,n_detectors_used,mean_status,max_status,comparison_note
weekday_morning,LSA1,west,K2,312.0,78.0,80.0,312.0,320.0,82.0,33.0,0.4024390243902439,724.3902439024391,0.4307070707070706,0.4417508417508416,4,1,below capacity,below capacity,simulation-side only; no direct real saturation comparison
weekday_morning,LSA10,east,K4,363.0,90.75,102.0,363.0,408.0,86.0,37.0,0.4302325581395348,774.4186046511627,0.4687387387387388,0.5268468468468469,4,2,below capacity,below capacity,usable for simulation saturation comparison
weekday_morning,LSA10,north_east,K3,32.0,8.0,11.0,32.0,44.0,86.0,14.0,0.1627906976744186,293.0232558139535,0.10920634920634915,0.1501587301587301,4,1,below capacity,below capacity,usable for simulation saturation comparison
weekday_morning,LSA10,north_west,K2,94.0,23.5,30.0,94.0,120.0,86.0,14.0,0.1627906976744186,293.0232558139535,0.32079365079365074,0.4095238095238095,4,2,below capacity,below capacity,usable for simulation saturation comparison
weekday_morning,LSA10,south,K5,51.0,12.75,18.0,51.0,72.0,86.0,9.0,0.1046511627906976,188.37209302325567,0.2707407407407409,0.3822222222222225,4,1,below capacity,below capacity,usable for simulation saturation comparison
weekday_morning,LSA10,west,K1,468.0,117.0,131.0,468.0,524.0,86.0,37.0,0.4302325581395348,774.4186046511627,0.6043243243243244,0.6766366366366368,4,1,below capacity,below capacity,usable for simulation saturation comparison
weekday_morning,LSA16,east,K4,397.0,99.25,115.0,397.0,460.0,87.0,51.0,0.5862068965517241,1055.1724137931033,0.3762418300653595,0.4359477124183007,4,2,below capacity,below capacity,usable for simulation saturation comparison
weekday_morning,LSA16,north,K3,152.0,38.0,49.0,152.0,196.0,87.0,23.0,0.264367816091954,475.8620689655172,0.3194202898550725,0.4118840579710145,4,2,below capacity,below capacity,usable for simulation saturation comparison
weekday_morning,LSA16,south,K1,379.0,94.75,107.0,379.0,428.0,87.0,23.0,0.264367816091954,475.8620689655172,0.796449275362319,0.8994202898550726,4,3,below capacity,near capacity,usable for simulation saturation comparison
weekday_morning,LSA16,west,K2,347.0,86.75,100.0,347.0,400.0,87.0,27.0,0.3103448275862069,558.6206896551724,0.6211728395061729,0.7160493827160493,4,2,below capacity,below capacity,usable for simulation saturation comparison
weekday_morning,LSA9,east,K3,541.0,135.25,144.0,541.0,576.0,108.0,25.0,0.2314814814814814,416.6666666666665,1.2984000000000004,1.3824000000000003,4,2,over capacity,over capacity,usable for simulation saturation comparison
weekday_morning,LSA9,north_west,K2,96.0,24.0,27.0,96.0,108.0,108.0,14.0,0.1296296296296296,233.3333333333333,0.4114285714285716,0.462857142857143,4,2,below capacity,below capacity,usable for simulation saturation comparison
weekday_morning,LSA9,south,K4,9.0,2.25,5.0,9.0,20.0,108.0,11.0,0.1018518518518518,183.3333333333333,0.049090909090909074,0.1090909090909091,4,1,below capacity,below capacity,usable for simulation saturation comparison
weekday_morning,LSA9,west,K1,588.0,147.0,175.0,588.0,700.0,108.0,42.0,0.3888888888888889,700.0,0.84,1.0,4,2,below capacity,near capacity,usable for simulation saturation comparison
weekend_evening,LSA1,east,K4,392.0,98.0,105.0,392.0,420.0,82.0,33.0,0.4024390243902439,724.3902439024391,0.5411447811447812,0.5797979797979798,4,2,below capacity,below capacity,simulation-side only; no direct real saturation comparison
weekend_evening,LSA1,east,K5,109.0,27.25,30.0,109.0,120.0,82.0,9.0,0.1097560975609756,197.56097560975607,0.5517283950617284,0.6074074074074075,4,1,below capacity,below capacity,simulation-side only; no direct real saturation comparison
weekend_evening,LSA1,east,K6,156.0,39.0,46.0,156.0,184.0,82.0,55.0,0.6707317073170732,1207.317073170732,0.12921212121212117,0.1524040404040403,4,1,below capacity,below capacity,simulation-side only; no direct real saturation comparison
weekend_evening,LSA1,north,K7,222.0,55.5,69.0,222.0,276.0,82.0,22.0,0.2682926829268293,482.9268292682927,0.4596969696969697,0.5715151515151515,4,2,below capacity,below capacity,simulation-side only; no direct real saturation comparison
weekend_evening,LSA1,north,K8,144.0,36.0,38.0,144.0,152.0,82.0,31.0,0.3780487804878049,680.4878048780488,0.2116129032258064,0.2233691756272401,4,1,below capacity,below capacity,simulation-side only; no direct real saturation comparison
weekend_evening,LSA1,south,K3,0.0,0.0,0.0,0.0,0.0,82.0,0.0,0.0,0.0,,,4,1,not calculated,not calculated,simulation-side only; no direct real saturation comparison
weekend_evening,LSA1,west,K1,168.0,42.0,47.0,168.0,188.0,82.0,9.0,0.1097560975609756,197.56097560975607,0.8503703703703706,0.9516049382716052,4,1,near capacity,near capacity,simulation-side only; no direct real saturation comparison
weekend_evening,LSA1,west,K2,391.0,97.75,102.0,391.0,408.0,82.0,33.0,0.4024390243902439,724.3902439024391,0.5397643097643097,0.5632323232323232,4,1,below capacity,below capacity,simulation-side only; no direct real saturation comparison
weekend_evening,LSA10,east,K4,388.0,97.0,100.0,388.0,400.0,89.0,44.0,0.4943820224719101,889.8876404494382,0.436010101010101,0.4494949494949495,4,2,below capacity,below capacity,usable for simulation saturation comparison
weekend_evening,LSA10,north_east,K3,24.0,6.0,8.0,24.0,32.0,89.0,13.0,0.146067415730337,262.9213483146066,0.0912820512820513,0.1217094017094017,4,1,below capacity,below capacity,usable for simulation saturation comparison
weekend_evening,LSA10,north_west,K2,83.0,20.75,28.0,83.0,112.0,89.0,13.0,0.146067415730337,262.9213483146066,0.31568376068376086,0.4259829059829063,4,2,below capacity,below capacity,usable for simulation saturation comparison
weekend_evening,LSA10,south,K5,49.0,12.25,14.0,49.0,56.0,89.0,9.0,0.1011235955056179,182.02247191011224,0.26919753086419773,0.3076543209876545,4,1,below capacity,below capacity,usable for simulation saturation comparison
weekend_evening,LSA10,west,K1,395.0,98.75,113.0,395.0,452.0,89.0,44.0,0.4943820224719101,889.8876404494382,0.44387626262626256,0.5079292929292929,4,1,below capacity,below capacity,usable for simulation saturation comparison
weekend_evening,LSA16,east,K4,364.0,91.0,95.0,364.0,380.0,86.0,45.0,0.5232558139534884,941.8604651162792,0.3864691358024691,0.4034567901234567,4,2,below capacity,below capacity,usable for simulation saturation comparison
weekend_evening,LSA16,north,K3,177.0,44.25,50.0,177.0,200.0,86.0,28.0,0.3255813953488372,586.046511627907,0.30202380952380947,0.3412698412698413,4,2,below capacity,below capacity,usable for simulation saturation comparison
weekend_evening,LSA16,south,K1,329.0,82.25,97.0,329.0,388.0,86.0,28.0,0.3255813953488372,586.046511627907,0.5613888888888889,0.662063492063492,4,3,below capacity,below capacity,usable for simulation saturation comparison
