scenario,file_suffix,lsa,signal_group,tls_indices,cycle_time_s,green_time_s,green_share,tls_file_used
weekday_evening,evening,LSA9,K4,"9,10,11,12",137.0,25.0,0.18248175182481752,C:\Users\mogul\OneDrive\Masaüstü\mt_emre\digital_twin\simulation\tls_LSA9_evening.xml
weekday_evening,evening,LSA1,K1,11,83.0,11.0,0.13253012048192772,C:\Users\mogul\OneDrive\Masaüstü\mt_emre\digital_twin\simulation\tls_9869_evening.xml
weekday_evening,evening,LSA1,K2,"9,10",83.0,36.0,0.43373493975903615,C:\Users\mogul\OneDrive\Masaüstü\mt_emre\digital_twin\simulation\tls_9869_evening.xml
weekday_evening,evening,LSA1,K3,,83.0,0.0,0.0,C:\Users\mogul\OneDrive\Masaüstü\mt_emre\digital_twin\simulation\tls_9869_evening.xml
weekday_evening,evening,LSA1,K4,"4,5",83.0,36.0,0.43373493975903615,C:\Users\mogul\OneDrive\Masaüstü\mt_emre\digital_twin\simulation\tls_9869_evening.xml
weekday_evening,evening,LSA1,K5,6,83.0,11.0,0.13253012048192772,C:\Users\mogul\OneDrive\Masaüstü\mt_emre\digital_twin\simulation\tls_9869_evening.xml
weekday_evening,evening,LSA1,K6,3,83.0,54.0,0.6506024096385542,C:\Users\mogul\OneDrive\Masaüstü\mt_emre\digital_twin\simulation\tls_9869_evening.xml
weekday_evening,evening,LSA1,K7,"1,2",83.0,18.0,0.21686746987951808,C:\Users\mogul\OneDrive\Masaüstü\mt_emre\digital_twin\simulation\tls_9869_evening.xml
weekday_evening,evening,LSA1,K8,0,83.0,29.0,0.3493975903614458,C:\Users\mogul\OneDrive\Masaüstü\mt_emre\digital_twin\simulation\tls_9869_evening.xml
weekend_morning,weekend_morning,LSA16,K1,"3,4,5",86.0,32.0,0.37209302325581395,C:\Users\mogul\OneDrive\Masaüstü\mt_emre\digital_twin\simulation\tls_9873_weekend_morning.xml
weekend_morning,weekend_morning,LSA16,K2,"7,8",86.0,25.0,0.29069767441860467,C:\Users\mogul\OneDrive\Masaüstü\mt_emre\digital_twin\simulation\tls_9873_weekend_morning.xml
weekend_morning,weekend_morning,LSA16,K3,"9,10",86.0,32.0,0.37209302325581395,C:\Users\mogul\OneDrive\Masaüstü\mt_emre\digital_twin\simulation\tls_9873_weekend_morning.xml
weekend_morning,weekend_morning,LSA16,K4,"0,1,2",86.0,41.0,0.47674418604651164,C:\Users\mogul\OneDrive\Masaüstü\mt_emre\digital_twin\simulation\tls_9873_weekend_morning.xml
weekend_morning,weekend_morning,LSA10,K1,"8,9,10",94.0,45.0,0.4787234042553192,C:\Users\mogul\OneDrive\Masaüstü\mt_emre\digital_twin\simulation\tls_9876_weekend_morning.xml
weekend_morning,weekend_morning,LSA10,K2,"11,12,13,14,15",94.0,16.0,0.1702127659574468,C:\Users\mogul\OneDrive\Masaüstü\mt_emre\digital_twin\simulation\tls_9876_weekend_morning.xml
weekend_morning,weekend_morning,LSA10,K3,16,94.0,16.0,0.1702127659574468,C:\Users\mogul\OneDrive\Masaüstü\mt_emre\digital_twin\simulation\tls_9876_weekend_morning.xml
weekend_morning,weekend_morning,LSA10,K4,"0,1,2,3",94.0,45.0,0.4787234042553192,C:\Users\mogul\OneDrive\Masaüstü\mt_emre\digital_twin\simulation\tls_9876_weekend_morning.xml
weekend_morning,weekend_morning,LSA10,K5,"4,5,6,7",94.0,10.0,0.10638297872340426,C:\Users\mogul\OneDrive\Masaüstü\mt_emre\digital_twin\simulation\tls_9876_weekend_morning.xml
weekend_morning,weekend_morning,LSA9,K1,"13,14,15,16,17",175.0,92.0,0.5257142857142857,C:\Users\mogul\OneDrive\Masaüstü\mt_emre\digital_twin\simulation\tls_LSA9_weekend_morning.xml
weekend_morning,weekend_morning,LSA9,K2,"0,1,2,3,4,18,19,20,21",175.0,45.0,0.2571428571428571,C:\Users\mogul\OneDrive\Masaüstü\mt_emre\digital_twin\simulation\tls_LSA9_weekend_morning.xml
weekend_morning,weekend_morning,LSA9,K3,"5,6,7,8",175.0,100.0,0.5714285714285714,C:\Users\mogul\OneDrive\Masaüstü\mt_emre\digital_twin\simulation\tls_LSA9_weekend_morning.xml
weekend_morning,weekend_morning,LSA9,K4,"9,10,11,12",175.0,0.0,0.0,C:\Users\mogul\OneDrive\Masaüstü\mt_emre\digital_twin\simulation\tls_LSA9_weekend_morning.xml
weekend_morning,weekend_morning,LSA1,K1,11,82.0,5.0,0.06097560975609756,C:\Users\mogul\OneDrive\Masaüstü\mt_emre\digital_twin\simulation\tls_9869_weekend_morning.xml
weekend_morning,weekend_morning,LSA1,K2,"9,10",82.0,30.0,0.36585365853658536,C:\Users\mogul\OneDrive\Masaüstü\mt_emre\digital_twin\simulation\tls_9869_weekend_morning.xml
weekend_morning,weekend_morning,LSA1,K3,,82.0,0.0,0.0,C:\Users\mogul\OneDrive\Masaüstü\mt_emre\digital_twin\simulation\tls_9869_weekend_morning.xml
weekend_morning,weekend_morning,LSA1,K4,"4,5",82.0,30.0,0.36585365853658536,C:\Users\mogul\OneDrive\Masaüstü\mt_emre\digital_twin\simulation\tls_9869_weekend_morning.xml
weekend_morning,weekend_morning,LSA1,K5,6,82.0,5.0,0.06097560975609756,C:\Users\mogul\OneDrive\Masaüstü\mt_emre\digital_twin\simulation\tls_9869_weekend_morning.xml
weekend_morning,weekend_morning,LSA1,K6,3,82.0,59.0,0.7195121951219512,C:\Users\mogul\OneDrive\Masaüstü\mt_emre\digital_twin\simulation\tls_9869_weekend_morning.xml
weekend_morning,weekend_morning,LSA1,K7,"1,2",82.0,29.0,0.35365853658536583,C:\Users\mogul\OneDrive\Masaüstü\mt_emre\digital_twin\simulation\tls_9869_weekend_morning.xml
weekend_morning,weekend_morning,LSA1,K8,0,82.0,34.0,0.4146341463414634,C:\Users\mogul\OneDrive\Masaüstü\mt_emre\digital_twin\simulation\tls_9869_weekend_morning.xml
weekend_evening,weekend_evening,LSA16,K1,"3,4,5",86.0,28.0,0.32558139534883723,C:\Users\mogul\OneDrive\Masaüstü\mt_emre\digital_twin\simulation\tls_9873_weekend_evening.xml
weekend_evening,weekend_evening,LSA16,K2,"7,8",86.0,25.0,0.29069767441860467,C:\Users\mogul\OneDrive\Masaüstü\mt_emre\digital_twin\simulation\tls_9873_weekend_evening.xml
weekend_evening,weekend_evening,LSA16,K3,"9,10",86.0,28.0,0.32558139534883723,C:\Users\mogul\OneDrive\Masaüstü\mt_emre\digital_twin\simulation\tls_9873_weekend_evening.xml
weekend_evening,weekend_evening,LSA16,K4,"0,1,2",86.0,45.0,0.5232558139534884,C:\Users\mogul\OneDrive\Masaüstü\mt_emre\digital_twin\simulation\tls_9873_weekend_evening.xml
weekend_evening,weekend_evening,LSA10,K1,"8,9,10",89.0,44.0,0.4943820224719101,C:\Users\mogul\OneDrive\Masaüstü\mt_emre\digital_twin\simulation\tls_9876_weekend_evening.xml
weekend_evening,weekend_evening,LSA10,K2,"11,12,13,14,15",89.0,13.0,0.14606741573033707,C:\Users\mogul\OneDrive\Masaüstü\mt_emre\digital_twin\simulation\tls_9876_weekend_evening.xml
weekend_evening,weekend_evening,LSA10,K3,16,89.0,13.0,0.14606741573033707,C:\Users\mogul\OneDrive\Masaüstü\mt_emre\digital_twin\simulation\tls_9876_weekend_evening.xml
weekend_evening,weekend_evening,LSA10,K4,"0,1,2,3",89.0,44.0,0.4943820224719101,C:\Users\mogul\OneDrive\Masaüstü\mt_emre\digital_twin\simulation\tls_9876_weekend_evening.xml
weekend_evening,weekend_evening,LSA10,K5,"4,5,6,7",89.0,9.0,0.10112359550561797,C:\Users\mogul\OneDrive\Masaüstü\mt_emre\digital_twin\simulation\tls_9876_weekend_evening.xml
weekend_evening,weekend_evening,LSA9,K1,"13,14,15,16,17",165.0,82.0,0.49696969696969695,C:\Users\mogul\OneDrive\Masaüstü\mt_emre\digital_twin\simulation\tls_LSA9_weekend_evening.xml
weekend_evening,weekend_evening,LSA9,K2,"0,1,2,3,4,18,19,20,21",165.0,32.0,0.19393939393939394,C:\Users\mogul\OneDrive\Masaüstü\mt_emre\digital_twin\simulation\tls_LSA9_weekend_evening.xml
weekend_evening,weekend_evening,LSA9,K3,"5,6,7,8",165.0,86.0,0.5212121212121212,C:\Users\mogul\OneDrive\Masaüstü\mt_emre\digital_twin\simulation\tls_LSA9_weekend_evening.xml
weekend_evening,weekend_evening,LSA9,K4,"9,10,11,12",165.0,9.0,0.05454545454545454,C:\Users\mogul\OneDrive\Masaüstü\mt_emre\digital_twin\simulation\tls_LSA9_weekend_evening.xml
weekend_evening,weekend_evening,LSA1,K1,11,82.0,9.0,0.10975609756097561,C:\Users\mogul\OneDrive\Masaüstü\mt_emre\digital_twin\simulation\tls_9869_weekend_evening.xml
weekend_evening,weekend_evening,LSA1,K2,"9,10",82.0,33.0,0.4024390243902439,C:\Users\mogul\OneDrive\Masaüstü\mt_emre\digital_twin\simulation\tls_9869_weekend_evening.xml
weekend_evening,weekend_evening,LSA1,K3,,82.0,0.0,0.0,C:\Users\mogul\OneDrive\Masaüstü\mt_emre\digital_twin\simulation\tls_9869_weekend_evening.xml
weekend_evening,weekend_evening,LSA1,K4,"4,5",82.0,33.0,0.4024390243902439,C:\Users\mogul\OneDrive\Masaüstü\mt_emre\digital_twin\simulation\tls_9869_weekend_evening.xml
weekend_evening,weekend_evening,LSA1,K5,6,82.0,9.0,0.10975609756097561,C:\Users\mogul\OneDrive\Masaüstü\mt_emre\digital_twin\simulation\tls_9869_weekend_evening.xml
weekend_evening,weekend_evening,LSA1,K6,3,82.0,55.0,0.6707317073170732,C:\Users\mogul\OneDrive\Masaüstü\mt_emre\digital_twin\simulation\tls_9869_weekend_evening.xml
weekend_evening,weekend_evening,LSA1,K7,"1,2",82.0,22.0,0.2682926829268293,C:\Users\mogul\OneDrive\Masaüstü\mt_emre\digital_twin\simulation\tls_9869_weekend_evening.xml
weekend_evening,weekend_evening,LSA1,K8,0,82.0,31.0,0.3780487804878049,C:\Users\mogul\OneDrive\Masaüstü\mt_emre\digital_twin\simulation\tls_9869_weekend_evening.xml
