scenario,lsa,detector_id_sumo,detector_id_real,begin_s,end_s,nVehEntered,nVehContrib,flow,occupancy,speed,harmonicMeanSpeed,analysis_begin_s,analysis_end_s,bin_no,bin_label,approach,movement,signal_group
weekday_morning,LSA10,LSA10_E_id3,3,1800.0,2700.0,42.0,42.0,168.0,3.4,10.84,7.1,900.0,1800.0,2,15-30,east,straight_right,K4
weekday_morning,LSA10,LSA10_E_id4,4,1800.0,2700.0,53.0,53.0,212.0,10.39,11.22,2.64,900.0,1800.0,2,15-30,east,straight,K4
weekday_morning,LSA10,LSA10_NE_id29,29,1800.0,2700.0,7.0,7.0,28.0,4.73,5.09,0.74,900.0,1800.0,2,15-30,north_east,right,K3
weekday_morning,LSA10,LSA10_NW_id26,26,1800.0,2700.0,9.0,9.0,36.0,3.07,5.78,1.82,900.0,1800.0,2,15-30,north_west,straight_right,K2
weekday_morning,LSA10,LSA10_NW_id27,27,1800.0,2700.0,19.0,19.0,76.0,20.91,4.79,0.56,900.0,1800.0,2,15-30,north_west,left,K2
weekday_morning,LSA10,LSA10_S_id31,31,1800.0,2700.0,8.0,8.0,32.0,0.86,5.44,5.09,900.0,1800.0,2,15-30,south,multi_movement,K5
weekday_morning,LSA10,LSA10_W_id1,1,1800.0,2700.0,126.0,126.0,504.0,31.56,8.88,2.03,900.0,1800.0,2,15-30,west,straight_right,K1
weekday_morning,LSA16,LSA16_E_id10,10,1800.0,2700.0,51.0,51.0,204.0,7.25,9.72,3.98,900.0,1800.0,2,15-30,east,straight_right,K4
weekday_morning,LSA16,LSA16_E_id11,11,1800.0,2700.0,49.0,49.0,196.0,11.2,7.7,2.21,900.0,1800.0,2,15-30,east,left,K4
weekday_morning,LSA16,LSA16_N_id6,6,1800.0,2700.0,13.0,13.0,52.0,0.55,11.97,11.75,900.0,1800.0,2,15-30,north,right,K3
weekday_morning,LSA16,LSA16_N_id7,7,1800.0,2700.0,14.0,14.0,56.0,0.55,13.62,13.54,900.0,1800.0,2,15-30,north,straight,K3
weekday_morning,LSA16,LSA16_S_id1,1,1800.0,2700.0,39.0,39.0,156.0,24.88,7.34,0.98,900.0,1800.0,2,15-30,south,right,K1
weekday_morning,LSA16,LSA16_S_id2,2,1800.0,2700.0,31.0,31.0,124.0,1.29,12.87,12.67,900.0,1800.0,2,15-30,south,straight,K1
weekday_morning,LSA16,LSA16_S_id33,33,1800.0,2700.0,19.0,19.0,76.0,0.85,12.98,12.77,900.0,1800.0,2,15-30,south,straight,K1
weekday_morning,LSA16,LSA16_W_id3,3,1800.0,2700.0,86.0,86.0,344.0,65.08,9.05,0.75,900.0,1800.0,2,15-30,west,straight,K2
weekday_morning,LSA16,LSA16_W_id4,4,1800.0,2700.0,14.0,14.0,56.0,26.32,5.86,0.27,900.0,1800.0,2,15-30,west,left,K2
weekday_morning,LSA1,LSA1_E_id13,13,1800.0,2700.0,56.0,56.0,224.0,43.13,8.34,0.69,900.0,1800.0,2,15-30,east,straight_right,K4
weekday_morning,LSA1,LSA1_E_id23,23,1800.0,2700.0,63.0,61.0,244.0,38.64,8.51,0.83,900.0,1800.0,2,15-30,east,straight,K4
weekday_morning,LSA1,LSA1_E_id26,26,1800.0,2700.0,33.0,33.0,132.0,11.17,7.22,1.51,900.0,1800.0,2,15-30,east,left,K5
weekday_morning,LSA1,LSA1_E_id27,27,1800.0,2700.0,70.0,70.0,280.0,8.19,9.94,4.6,900.0,1800.0,2,15-30,east,right,K6
weekday_morning,LSA1,LSA1_N_id28,28,1800.0,2700.0,17.0,17.0,68.0,19.11,6.62,0.45,900.0,1800.0,2,15-30,north,straight,K7
weekday_morning,LSA1,LSA1_N_id30,30,1800.0,2700.0,71.0,71.0,284.0,62.01,7.74,0.62,900.0,1800.0,2,15-30,north,left,K7
weekday_morning,LSA1,LSA1_N_id40,40,1800.0,2700.0,33.0,34.0,136.0,28.18,7.41,0.61,900.0,1800.0,2,15-30,north,right,K8
weekday_morning,LSA1,LSA1_S_id11,11,1800.0,2700.0,0.0,0.0,0.0,0.0,-1.0,-1.0,900.0,1800.0,2,15-30,south,straight_faulty,K3
weekday_morning,LSA1,LSA1_W_id7,7,1800.0,2700.0,50.0,51.0,204.0,90.43,6.12,0.29,900.0,1800.0,2,15-30,west,left,K1
weekday_morning,LSA1,LSA1_W_id9,9,1800.0,2700.0,75.0,75.0,300.0,41.4,8.3,0.92,900.0,1800.0,2,15-30,west,straight_right,K2
weekday_morning,LSA9,LSA9_E_id8,8,1800.0,2700.0,85.0,82.0,328.0,35.06,8.33,1.55,900.0,1800.0,2,15-30,east,straight_right,K3
weekday_morning,LSA9,LSA9_E_id9,9,1800.0,2700.0,59.0,59.0,236.0,11.07,8.95,2.72,900.0,1800.0,2,15-30,east,straight,K3
weekday_morning,LSA9,LSA9_S_id10,10,1800.0,2700.0,1.0,1.0,4.0,0.06,8.41,8.41,900.0,1800.0,2,15-30,south,multi_movement,K4
weekday_morning,LSA9,LSA9_WE_id4,4,1800.0,2700.0,10.0,11.0,44.0,26.37,1.45,0.18,900.0,1800.0,2,15-30,north_west,straight_right,K2
weekday_morning,LSA9,LSA9_WE_id5,5,1800.0,2700.0,12.0,11.0,44.0,26.6,3.98,0.24,900.0,1800.0,2,15-30,north_west,movement,K2
weekday_morning,LSA9,LSA9_W_id1,1,1800.0,2700.0,84.0,83.0,332.0,25.39,8.64,1.76,900.0,1800.0,2,15-30,west,straight_right,K1
