lsa,date_str,day_status,coverage_ratio,max_continuous_bins_with_data,max_continuous_hours_with_data,model_usability
LD-LSA8,2026-04-02,partial_day,0.9791666666666666,72.0,18.0,usable_partial
LD-LSA8,2026-04-03,full_day,1.0,96.0,24.0,usable
LD-LSA9,2026-03-01,partial_day,0.9479166666666666,91.0,22.75,usable_partial
LD-LSA9,2026-03-02,partial_day,0.9895833333333334,95.0,23.75,usable_partial
LD-LSA9,2026-03-03,partial_day,0.9895833333333334,95.0,23.75,usable_partial
LD-LSA9,2026-03-04,partial_day,0.9895833333333334,95.0,23.75,usable_partial
LD-LSA9,2026-03-05,partial_day,0.96875,89.0,22.25,usable_partial
LD-LSA9,2026-03-06,partial_day,0.9895833333333334,95.0,23.75,usable_partial
LD-LSA9,2026-03-07,partial_day,0.9895833333333334,95.0,23.75,usable_partial
LD-LSA9,2026-03-08,partial_day,0.9895833333333334,95.0,23.75,usable_partial
LD-LSA9,2026-03-09,partial_day,0.9895833333333334,95.0,23.75,usable_partial
LD-LSA9,2026-03-10,partial_day,0.9895833333333334,95.0,23.75,usable_partial
LD-LSA9,2026-03-11,partial_day,0.9895833333333334,95.0,23.75,usable_partial
LD-LSA9,2026-03-12,partial_day,0.9895833333333334,95.0,23.75,usable_partial
LD-LSA9,2026-03-13,partial_day,0.9895833333333334,95.0,23.75,usable_partial
LD-LSA9,2026-03-14,partial_day,0.9895833333333334,95.0,23.75,usable_partial
LD-LSA9,2026-03-15,partial_day,0.9895833333333334,95.0,23.75,usable_partial
LD-LSA9,2026-03-16,partial_day,0.9895833333333334,95.0,23.75,usable_partial
LD-LSA9,2026-03-17,partial_day,0.9895833333333334,95.0,23.75,usable_partial
LD-LSA9,2026-03-18,partial_day,0.9895833333333334,95.0,23.75,usable_partial
LD-LSA9,2026-03-19,partial_day,0.9895833333333334,95.0,23.75,usable_partial
LD-LSA9,2026-03-20,partial_day,0.9895833333333334,95.0,23.75,usable_partial
LD-LSA9,2026-03-21,partial_day,0.9895833333333334,95.0,23.75,usable_partial
LD-LSA9,2026-03-22,partial_day,0.9895833333333334,95.0,23.75,usable_partial
LD-LSA9,2026-03-23,partial_day,0.9895833333333334,95.0,23.75,usable_partial
LD-LSA9,2026-03-24,partial_day,0.9895833333333334,95.0,23.75,usable_partial
LD-LSA9,2026-03-25,partial_day,0.9895833333333334,95.0,23.75,usable_partial
LD-LSA9,2026-03-26,partial_day,0.9895833333333334,95.0,23.75,usable_partial
LD-LSA9,2026-03-27,partial_day,0.9895833333333334,95.0,23.75,usable_partial
LD-LSA9,2026-03-28,partial_day,0.9895833333333334,95.0,23.75,usable_partial
LD-LSA9,2026-03-29,partial_day,0.9479166666666666,91.0,22.75,usable_partial
LD-LSA9,2026-03-30,partial_day,0.9895833333333334,95.0,23.75,usable_partial
