lsa,detector_id,n_records,n_unique_timestamps,first_timestamp,last_timestamp,mean_count,median_count,max_count,zero_count_share,mean_occupancy,median_occupancy,max_occupancy,zero_occupancy_share
LD-LSA1,34.0,3626,3626,2026-03-01 01:15:00+01:00,2026-04-16 08:45:00+02:00,0.14147821290678433,0.0,7.0,0.8885824600110315,0.000827357970215113,0.0,2.0,0.9994484280198566
LD-LSA1,35.0,3626,3626,2026-03-01 01:15:00+01:00,2026-04-16 08:45:00+02:00,0.626861555432984,0.0,45.0,0.815223386651958,0.0005515719801434088,0.0,1.0,0.9994484280198566
LD-LSA1,36.0,3626,3626,2026-03-01 01:15:00+01:00,2026-04-16 08:45:00+02:00,1.02426916712631,0.0,101.0,0.7526199669056812,0.007997793712079426,0.0,3.0,0.9947600661886377
LD-LSA1,37.0,3626,3626,2026-03-01 01:15:00+01:00,2026-04-16 08:45:00+02:00,1.0835631549917264,0.0,59.0,0.7195256480970766,0.0027578599007170436,0.0,2.0,0.9975179260893546
LD-LSA1,38.0,3626,3626,2026-03-01 01:15:00+01:00,2026-04-16 08:45:00+02:00,1.2895752895752897,0.0,65.0,0.6985659128516272,0.004688361831218974,0.0,2.0,0.9958632101489244
LD-LSA1,39.0,3626,3626,2026-03-01 01:15:00+01:00,2026-04-16 08:45:00+02:00,43.53750689464975,41.0,270.0,0.013789299503585218,15.625206839492554,7.0,89.0,0.24765581908439052
LD-LSA1,40.0,3626,3626,2026-03-01 01:15:00+01:00,2026-04-16 08:45:00+02:00,23.257859900717044,23.0,114.0,0.05129619415333701,15.121070049641478,14.0,58.0,0.14616657473800332
LD-LSA1,41.0,3626,3626,2026-03-01 01:15:00+01:00,2026-04-16 08:45:00+02:00,1.2404853833425262,0.0,138.0,0.722007722007722,0.005239933811362383,0.0,4.0,0.9961389961389961
LD-LSA1,42.0,3626,3626,2026-03-01 01:15:00+01:00,2026-04-16 08:45:00+02:00,0.8532818532818532,0.0,99.0,0.803088803088803,0.005515719801434087,0.0,3.0,0.9958632101489244
LD-LSA1,43.0,3626,3626,2026-03-01 01:15:00+01:00,2026-04-16 08:45:00+02:00,0.8877551020408163,0.0,83.0,0.7785438499724214,0.0019305019305019305,0.0,2.0,0.9986210700496415
LD-LSA1,44.0,3626,3626,2026-03-01 01:15:00+01:00,2026-04-16 08:45:00+02:00,1.030612244897959,0.0,181.0,0.7653061224489796,0.006618863761720904,0.0,3.0,0.995311638168781
LD-LSA1,45.0,3626,3626,2026-03-01 01:15:00+01:00,2026-04-16 08:45:00+02:00,0.9900717043574186,0.0,123.0,0.7639271924986211,0.0019305019305019305,0.0,2.0,0.9986210700496415
LD-LSA1,46.0,3626,3626,2026-03-01 01:15:00+01:00,2026-04-16 08:45:00+02:00,0.8698290126861555,0.0,109.0,0.7931605074462217,0.003033645890788748,0.0,2.0,0.9977937120794264
LD-LSA1,47.0,3626,3626,2026-03-01 01:15:00+01:00,2026-04-16 08:45:00+02:00,0.5893546607832322,0.0,97.0,0.8422504136789851,0.0005515719801434088,0.0,1.0,0.9994484280198566
LD-LSA1,48.0,3626,3626,2026-03-01 01:15:00+01:00,2026-04-16 08:45:00+02:00,0.14947600661886376,0.0,19.0,0.9409817981246553,0.0,0.0,0.0,1.0
LD-LSA10,1.0,4408,4408,2026-03-01 01:15:00+01:00,2026-04-16 08:45:00+02:00,41.21460980036298,40.0,191.0,0.009981851179673321,29.031306715063522,26.0,93.0,0.08393829401088929
LD-LSA10,2.0,4408,4408,2026-03-01 01:15:00+01:00,2026-04-16 08:45:00+02:00,21.13271324863884,22.0,119.0,0.039473684210526314,19.218012704174228,15.0,100.0,0.13929219600725953
LD-LSA10,3.0,4408,4408,2026-03-01 01:15:00+01:00,2026-04-16 08:45:00+02:00,41.00249546279492,43.0,123.0,0.017695099818511795,19.947595281306715,16.0,96.0,0.12409255898366606
LD-LSA10,4.0,4408,4408,2026-03-01 01:15:00+01:00,2026-04-16 08:45:00+02:00,27.049001814882033,26.0,102.0,0.030399274047186932,8.341424682395644,7.0,50.0,0.1898820326678766
LD-LSA10,5.0,4408,4408,2026-03-01 01:15:00+01:00,2026-04-16 08:45:00+02:00,69.45576225045372,70.0,997.0,0.008166969147005444,14.282667876588022,10.0,59.0,0.20598911070780399
LD-LSA10,6.0,4408,4408,2026-03-01 01:15:00+01:00,2026-04-16 08:45:00+02:00,0.5778130671506352,0.0,36.0,0.7048548094373865,0.038112522686025406,0.0,5.0,0.971415607985481
LD-LSA10,7.0,4408,4408,2026-03-01 01:15:00+01:00,2026-04-16 08:45:00+02:00,0.5471869328493648,0.0,15.0,0.6921506352087115,0.015653357531760434,0.0,3.0,0.9870689655172413
LD-LSA10,8.0,4408,4408,2026-03-01 01:15:00+01:00,2026-04-16 08:45:00+02:00,0.5916515426497277,0.0,11.0,0.661978221415608,0.030626134301270418,0.0,3.0,0.9752722323049002
LD-LSA10,9.0,4408,4408,2026-03-01 01:15:00+01:00,2026-04-16 08:45:00+02:00,0.5353901996370236,0.0,9.0,0.6935117967332124,0.04219600725952813,0.0,4.0,0.9655172413793104
LD-LSA10,10.0,4408,4408,2026-03-01 01:15:00+01:00,2026-04-16 08:45:00+02:00,1.6789927404718694,1.0,48.0,0.4643829401088929,0.176497277676951,0.0,12.0,0.8781760435571688
LD-LSA10,11.0,4408,4408,2026-03-01 01:15:00+01:00,2026-04-16 08:45:00+02:00,0.03402903811252268,0.0,5.0,0.9741379310344828,0.001588021778584392,0.0,1.0,0.9984119782214156
LD-LSA10,12.0,4408,4408,2026-03-01 01:15:00+01:00,2026-04-16 08:45:00+02:00,1.4553085299455535,1.0,26.0,0.4909255898366606,0.125,0.0,5.0,0.9042649727767695
LD-LSA10,13.0,4408,4408,2026-03-01 01:15:00+01:00,2026-04-16 08:45:00+02:00,1.9228675136116153,0.0,167.0,0.7683756805807622,0.013157894736842105,0.0,4.0,0.9900181488203267
LD-LSA10,14.0,4408,4408,2026-03-01 01:15:00+01:00,2026-04-16 08:45:00+02:00,1.3548094373865698,0.0,73.0,0.7225499092558983,0.0034029038112522686,0.0,2.0,0.9970508166969148
LD-LSA10,15.0,4408,4408,2026-03-01 01:15:00+01:00,2026-04-16 08:45:00+02:00,1.0276769509981851,0.0,102.0,0.7849364791288567,0.004764065335753176,0.0,2.0,0.9956896551724138
LD-LSA10,16.0,4408,4408,2026-03-01 01:15:00+01:00,2026-04-16 08:45:00+02:00,0.897005444646098,0.0,139.0,0.7958257713248639,0.003856624319419238,0.0,2.0,0.9965970961887477
LD-LSA10,17.0,4408,4408,2026-03-01 01:15:00+01:00,2026-04-16 08:45:00+02:00,0.3098911070780399,0.0,39.0,0.9103901996370236,0.00045372050816696913,0.0,1.0,0.9995462794918331
LD-LSA10,18.0,4408,4408,2026-03-01 01:15:00+01:00,2026-04-16 08:45:00+02:00,0.3999546279491833,0.0,32.0,0.8831669691470054,0.00022686025408348456,0.0,1.0,0.9997731397459165
LD-LSA10,19.0,4408,4408,2026-03-01 01:15:00+01:00,2026-04-16 08:45:00+02:00,3.088021778584392,1.0,89.0,0.49750453720508164,0.010889292196007259,0.0,2.0,0.9906987295825771
LD-LSA10,20.0,4408,4408,2026-03-01 01:15:00+01:00,2026-04-16 08:45:00+02:00,0.1338475499092559,0.0,127.0,0.9809437386569873,0.0013611615245009074,0.0,3.0,0.9990925589836661
LD-LSA10,21.0,4408,4408,2026-03-01 01:15:00+01:00,2026-04-16 08:45:00+02:00,3.4108439201451906,0.0,175.0,0.543557168784029,0.016107078039927405,0.0,4.0,0.9875226860254084
LD-LSA10,22.0,4408,4408,2026-03-01 01:15:00+01:00,2026-04-16 08:45:00+02:00,0.22912885662431942,0.0,55.0,0.9112976406533575,0.00045372050816696913,0.0,1.0,0.9995462794918331
LD-LSA10,23.0,4408,4408,2026-03-01 01:15:00+01:00,2026-04-16 08:45:00+02:00,0.26678765880217786,0.0,39.0,0.9203720508166969,0.00022686025408348456,0.0,1.0,0.9997731397459165
LD-LSA10,24.0,4408,4408,2026-03-01 01:15:00+01:00,2026-04-16 08:45:00+02:00,5.744555353901997,5.0,30.0,0.18330308529945555,13.955308529945553,12.0,75.0,0.34460072595281305
LD-LSA10,25.0,4408,4408,2026-03-01 01:15:00+01:00,2026-04-16 08:45:00+02:00,19.69010889292196,18.0,59.0,0.044237749546279494,33.384074410163336,39.0,87.0,0.21937386569872958
LD-LSA10,26.0,4408,4408,2026-03-01 01:15:00+01:00,2026-04-16 08:45:00+02:00,4.783575317604356,4.0,21.0,0.183983666061706,14.71483666061706,13.0,63.0,0.3418784029038113
LD-LSA10,27.0,4408,4408,2026-03-01 01:15:00+01:00,2026-04-16 08:45:00+02:00,11.527676950998185,12.0,36.0,0.04219600725952813,36.275862068965516,42.0,92.0,0.20213248638838474
LD-LSA10,28.0,4408,4408,2026-03-01 01:15:00+01:00,2026-04-16 08:45:00+02:00,5.479582577132486,3.0,63.0,0.20485480943738657,7.132940108892922,4.0,64.0,0.36229582577132485
