scenario,date,window_start,window_end,approach,signal_group,signal_id,observed_seconds,green_seconds,cycle_count,green_minutes,green_share_percent,avg_cycle_time_s,avg_green_per_cycle_s
weekday_evening,2026-03-23,16:00:00,17:00:00,East,K3,3,3601,1322,90,22.033333333333335,36.712024437656204,40.01111111111111,14.688888888888888
weekday_evening,2026-03-23,16:00:00,17:00:00,North_East,K2,2,3601,586,90,9.766666666666667,16.273257428492087,40.01111111111111,6.511111111111111
weekday_evening,2026-03-23,16:00:00,17:00:00,North_West,K2,2,3601,586,90,9.766666666666667,16.273257428492087,40.01111111111111,6.511111111111111
weekday_evening,2026-03-23,16:00:00,17:00:00,South,K4,4,3601,351,90,5.85,9.747292418772563,40.01111111111111,3.9
weekday_evening,2026-03-23,16:00:00,17:00:00,West,K1,1,3601,1622,90,27.033333333333335,45.04304359900028,40.01111111111111,18.022222222222222
weekday_morning,2026-03-10,08:00:00,09:00:00,East,K3,3,3600,1286,90,21.433333333333334,35.72222222222222,40.0,14.28888888888889
weekday_morning,2026-03-10,08:00:00,09:00:00,North_East,K2,2,3600,440,90,7.333333333333333,12.222222222222221,40.0,4.888888888888889
weekday_morning,2026-03-10,08:00:00,09:00:00,North_West,K2,2,3600,440,90,7.333333333333333,12.222222222222221,40.0,4.888888888888889
weekday_morning,2026-03-10,08:00:00,09:00:00,South,K4,4,3600,342,90,5.7,9.5,40.0,3.8
weekday_morning,2026-03-10,08:00:00,09:00:00,West,K1,1,3600,1832,90,30.533333333333335,50.888888888888886,40.0,20.355555555555554
weekend_evening,2026-03-22,16:00:00,17:00:00,East,K3,3,3601,1656,90,27.6,45.987225770619276,40.01111111111111,18.4
weekend_evening,2026-03-22,16:00:00,17:00:00,North_East,K2,2,3601,652,90,10.866666666666667,18.106081643987782,40.01111111111111,7.2444444444444445
weekend_evening,2026-03-22,16:00:00,17:00:00,North_West,K2,2,3601,652,90,10.866666666666667,18.106081643987782,40.01111111111111,7.2444444444444445
weekend_evening,2026-03-22,16:00:00,17:00:00,South,K4,4,3601,237,90,3.95,6.581505137461815,40.01111111111111,2.6333333333333333
weekend_evening,2026-03-22,16:00:00,17:00:00,West,K1,1,3601,1771,90,29.516666666666666,49.18078311580117,40.01111111111111,19.677777777777777
weekend_morning,2026-03-14,08:00:00,09:00:00,East,K3,3,3600,1911,90,31.85,53.083333333333336,40.0,21.233333333333334
weekend_morning,2026-03-14,08:00:00,09:00:00,North_East,K2,2,3600,746,90,12.433333333333334,20.72222222222222,40.0,8.28888888888889
weekend_morning,2026-03-14,08:00:00,09:00:00,North_West,K2,2,3600,746,90,12.433333333333334,20.72222222222222,40.0,8.28888888888889
weekend_morning,2026-03-14,08:00:00,09:00:00,South,K4,4,3600,127,90,2.1166666666666667,3.5277777777777777,40.0,1.4111111111111112
weekend_morning,2026-03-14,08:00:00,09:00:00,West,K1,1,3600,1920,90,32.0,53.333333333333336,40.0,21.333333333333332
